MM #,m_rad [arcsec],m_azi [arcsec],sigma_rad [arcsec],sigma_azi [arcsec],distribution,alpha_rad,alpha_azi,Unnamed: 8.1,Unnamed: 9.1,Standard MM_PSF distributions,sigma_rad_,sigma_azi_,alpha_rad_,alpha_azi_,Unnamed: 15.1,Unnamed: 16.1,Unnamed: 8,Unnamed: 9,Unnamed: 15,Unnamed: 16,m_rad,m_azi,sigma_rad,sigma_azi,weight,theta_degrees,theta_position,mux,muy,sigmax,sigmay
66,0,0,1.60631537248227,6.626694534624625,gaussian,0.7987206180604955,0.3015660653507908,,,,,,,,,,,,,,4.295396534626876e-06,-6.584405408642787e-05,5e-08,5e-08,0.0025734775266666667,85.7906469121228,85.7906469121228,7.060072947325161e-05,3.3834537972483965e-05,5e-08,5e-08
67,0,0,4.543189901567556,3.428384184632431,gaussian,0.7638297014278899,0.310718945831125,,,,,,,,,,,,,,-6.652527661216242e-06,-0.00012885655757364497,5e-08,5e-08,0.0025734775266666667,78.42189065151629,78.42189065151629,0.00013480215174945057,-3.836446404331789e-05,5e-08,5e-08
68,0,0,5.676833325065705,5.593477122921209,gaussian,0.5631398710210814,0.2776729361158065,,,,,,,,,,,,,,1.601901508092358e-06,-7.247759005365771e-05,5e-08,5e-08,0.0025734775266666667,71.05313439090978,71.05313439090978,9.6617461662728e-05,-1.535502319606131e-05,5e-08,5e-08
69,0,0,4.510536421849792,1.303415661777961,gaussian,0.7441161933862971,0.2562147513849919,,,,,,,,,,,,,,5.832337266333673e-06,-1.4477520686179395e-05,5e-08,5e-08,0.0025734775266666667,63.68437813030325,63.68437813030325,6.534231085565846e-05,3.186705172470194e-05,5e-08,5e-08
70,0,0,1.380158727637271,2.649736646291478,gaussian,0.8051481064532672,0.2431437697627142,,,,,,,,,,,,,,6.30040085902018e-07,-2.4772547324861397e-05,5e-08,5e-08,0.0025734775266666667,56.31562186969675,56.31562186969675,6.029759393148768e-05,-9.088688869904453e-06,5e-08,5e-08
71,0,0,4.306361840308816,0.2902779010159466,gaussian,0.6674847181819313,0.3039654311403233,,,,,,,,,,,,,,-5.7211330105674615e-06,8.545359188524795e-05,5e-08,5e-08,0.0025734775266666667,48.94686560909024,48.94686560909024,-5.2698690060612475e-05,3.0790468662146724e-05,5e-08,5e-08
72,0,0,6.48045852893769,2.542104843200349,gaussian,0.9693838219716276,0.3213664275640817,,,,,,,,,,,,,,-2.8337678416284146e-06,6.709839817450824e-05,5e-08,5e-08,0.0025734775266666667,41.57810934848373,41.57810934848373,-4.651659695454965e-05,3.1264567403149514e-05,5e-08,5e-08
73,0,0,4.10325287862166,1.235176534612307,gaussian,0.6615989873569391,0.3607600507833251,,,,,,,,,,,,,,-6.314104353279377e-06,5.523558948216141e-05,5e-08,5e-08,0.0025734775266666667,34.20935308787721,34.20935308787721,2.8671604554576848e-05,8.132647633397934e-05,5e-08,5e-08
74,0,0,3.864580503513573,1.562066435206694,gaussian,0.8532426240116363,0.2236705236849021,,,,,,,,,,,,,,6.96259219883291e-07,-5.208932241140482e-05,5e-08,5e-08,0.002362368379259259,86.22968628752173,86.22968628752173,5.4284856704674084e-05,-1.0150677295338631e-05,5e-08,5e-08
75,0,0,0.59075201047496,1.178393163882365,gaussian,0.8622055670717876,0.3009937418593609,,,,,,,,,,,,,,2.380682034664259e-06,-6.980482677472447e-05,5e-08,5e-08,0.002362368379259259,79.67226471564129,79.67226471564129,7.844425085164044e-05,-6.813892669723755e-06,5e-08,5e-08
76,0,0,1.598925580066738,2.424312223033918,gaussian,0.8201115096431242,0.2868644208729223,,,,,,,,,,,,,,-3.0498430975636957e-06,-9.94300289119606e-05,5e-08,5e-08,0.002362368379259259,73.11484314376087,73.11484314376087,8.366284311234247e-05,-0.00013087510652681948,5e-08,5e-08
77,0,0,4.65302644841274,2.617089244765623,gaussian,0.810423205940342,0.2655573261792257,,,,,,,,,,,,,,-2.999665502439275e-06,-7.721344360894144e-05,5e-08,5e-08,0.002362368379259259,66.55742157188043,66.55742157188043,0.00010382868971956711,-2.4823589293964865e-05,5e-08,5e-08
78,0,0,1.453708958959155,5.504345522786302,gaussian,0.8165100176594445,0.2766978940383274,,,,,,,,,,,,,,1.304744447146972e-06,-4.3839298213483475e-06,5e-08,5e-08,0.002362368379259259,60.0,60.0,-4.347755282857094e-05,-0.0001459980013138898,5e-08,5e-08
79,0,0,2.961236699817556,1.368597110861912,gaussian,0.8950485915361436,0.2791065450700332,,,,,,,,,,,,,,2.2110398760301e-06,5.5458312952906994e-05,5e-08,5e-08,0.002362368379259259,53.44257842811958,53.44257842811958,2.6397693458998647e-05,8.07889327504379e-05,5e-08,5e-08
80,0,0,1.844189395880796,4.787876300603076,gaussian,0.8593895477670251,0.2864624319089646,,,,,,,,,,,,,,-4.126025794539042e-06,0.00010406362252327486,5e-08,5e-08,0.002362368379259259,46.88515685623915,46.88515685623915,4.183651132711277e-07,0.00012309080905575017,5e-08,5e-08
81,0,0,2.648475289090557,4.090760529706303,gaussian,0.6497066162866663,0.3292054467154034,,,,,,,,,,,,,,-2.556802185758415e-06,0.000122721861619031,5e-08,5e-08,0.002362368379259259,40.32773528435872,40.32773528435872,-9.764534732157992e-05,6.51237230193856e-05,5e-08,5e-08
82,0,0,4.719434059727739,6.0613609055706,gaussian,0.735188470287858,0.3218534252097113,,,,,,,,,,,,,,-2.5000667486111818e-06,-1.2492767571858892e-05,5e-08,5e-08,0.002362368379259259,33.77031371247829,33.77031371247829,0.00010541112874282879,5.008455534107696e-05,5e-08,5e-08
83,0,0,0.6538150334093031,4.877528424467054,gaussian,0.8476114512054346,0.3492490324893227,,,,,,,,,,,,,,-4.6771204200366795e-06,9.439390778244406e-07,5e-08,5e-08,0.00245434197037037,86.255802697162,86.255802697162,-9.83070576742807e-06,-6.294156343551705e-05,5e-08,5e-08
84,0,0,6.098919170711473,3.811696530819879,gaussian,0.9024561929852948,0.3068598512023778,,,,,,,,,,,,,,-6.1785619255537625e-06,-0.00012566864014996982,5e-08,5e-08,0.00245434197037037,79.6918520228715,79.6918520228715,0.00011989472947788156,-4.039606748248609e-05,5e-08,5e-08
85,0,0,4.519691909520089,1.722051312215255,gaussian,0.6682870596086826,0.279407282912409,,,,,,,,,,,,,,8.526230168750224e-07,-0.00013656252044653107,5e-08,5e-08,0.00245434197037037,73.12790134858099,73.12790134858099,0.00014596053965007538,-2.55948838436166e-05,5e-08,5e-08
86,0,0,3.483988370042724,5.0333635246601,gaussian,0.6903689765979125,0.272620178044131,,,,,,,,,,,,,,2.662377771385281e-06,-6.098876504615581e-05,5e-08,5e-08,0.00245434197037037,66.56395067429048,66.56395067429048,0.00012813538684363425,8.113636643795474e-05,5e-08,5e-08
87,0,0,3.107838740636631,4.646779778624932,gaussian,0.8026483047477173,0.2656695263825486,,,,,,,,,,,,,,6.561121336827147e-07,-1.4203918252241828e-05,5e-08,5e-08,0.00245434197037037,60.00000000000001,60.00000000000001,9.155131011612372e-06,-7.248916871450195e-05,5e-08,5e-08
88,0,0,6.739091748650666,3.430635146595494,gaussian,0.7350966083387359,0.2957032073415667,,,,,,,,,,,,,,2.1380005476362358e-06,0.00011000121321647854,5e-08,5e-08,0.00245434197037037,53.436049325709504,53.436049325709504,-1.634497290379746e-05,0.00012206777363449502,5e-08,5e-08
89,0,0,3.474674835565402,2.043628709793023,gaussian,0.7753000609188263,0.2764577658609647,,,,,,,,,,,,,,-4.742510810590119e-06,0.00015740893133081428,5e-08,5e-08,0.00245434197037037,46.872098651419,46.872098651419,-7.934889595689945e-05,0.00013107172767339796,5e-08,5e-08
90,0,0,2.896889862791364,3.664605054820888,gaussian,0.7814804664587898,0.2912979034542534,,,,,,,,,,,,,,5.979769195345458e-06,7.362806353240179e-05,5e-08,5e-08,0.00245434197037037,40.3081479771285,40.3081479771285,-7.69693609362527e-05,3.294344641773594e-05,5e-08,5e-08
91,0,0,0.4926820706672695,4.808933327539466,gaussian,0.6435138603064344,0.2846485693356988,,,,,,,,,,,,,,-7.617759694745908e-06,4.249253770685443e-05,5e-08,5e-08,0.00245434197037037,33.744197302838,33.744197302838,3.258782347040225e-05,7.819841622161398e-05,5e-08,5e-08
92,0,0,4.91569098064827,3.133806229355546,gaussian,0.7952686080982133,0.2749443170511785,,,,,,,,,,,,,,-3.5006092232732457e-06,-1.860353036221152e-05,5e-08,5e-08,0.002535881662222222,86.27897195715724,86.27897195715724,1.580684796709989e-05,2.6356797265351384e-05,5e-08,5e-08
93,0,0,2.429185599465659,6.04219129782923,gaussian,0.8036789311271981,0.2887155663543919,,,,,,,,,,,,,,-7.351762092072546e-06,-0.00012304128364135832,5e-08,5e-08,0.002535881662222222,79.70922896786794,79.70922896786794,0.0001119918544974483,-9.022998019425028e-05,5e-08,5e-08
94,0,0,1.639324433645688,4.230787214577321,gaussian,0.7984487074983021,0.2943884653184236,,,,,,,,,,,,,,1.3073214988056759e-05,-0.00014543082075407876,5e-08,5e-08,0.002535881662222222,73.13948597857862,73.13948597857862,0.00013948365014575473,-8.929660050508551e-05,5e-08,5e-08
95,0,0,3.462560668579494,1.04169980033169,gaussian,0.7941286108015999,0.3063668412339434,,,,,,,,,,,,,,-7.4403431804757395e-06,-1.0380297444122327e-05,5e-08,5e-08,0.002535881662222222,66.56974298928932,66.56974298928932,8.484262269039872e-06,-6.972613669424429e-05,5e-08,5e-08
96,0,0,1.943516849894855,3.290270657348701,gaussian,0.7279478598064884,0.2537475178873173,,,,,,,,,,,,,,2.677617109369046e-06,1.955439138494808e-05,5e-08,5e-08,0.002535881662222222,60.00000000000001,60.00000000000001,6.902763917942453e-05,9.98808216917745e-05,5e-08,5e-08
97,0,0,1.770416953279756,5.5150971172019,gaussian,0.7433394435563851,0.3329443035833266,,,,,,,,,,,,,,9.475573190073759e-07,9.185550512228694e-05,5e-08,5e-08,0.002535881662222222,53.4302570107107,53.4302570107107,-1.4831486039235403e-05,9.215612698713781e-05,5e-08,5e-08
98,0,0,2.258148500047381,1.862121043248006,gaussian,0.8629638055407576,0.2918556654158573,,,,,,,,,,,,,,-7.799596913806142e-06,0.00013097530520644088,5e-08,5e-08,0.002535881662222222,46.86051402142139,46.86051402142139,-0.00010575046290099122,5.8406766264793e-05,5e-08,5e-08
99,0,0,2.77347017791332,4.426407901629655,gaussian,0.8387619849854957,0.2782620321803461,,,,,,,,,,,,,,-9.314996448108142e-07,5.73088678202914e-05,5e-08,5e-08,0.002535881662222222,40.29077103213208,40.29077103213208,3.614532253835456e-05,0.00010130933241611062,5e-08,5e-08
100,0,0,0.2071813977669326,1.023990049646411,gaussian,0.7172083712364486,0.2384281685376321,,,,,,,,,,,,,,3.007228047877081e-06,8.989151812463559e-05,5e-08,5e-08,0.002535881662222222,33.72102804284276,33.72102804284276,-0.00014053088047744175,1.8847190141924467e-05,5e-08,5e-08
101,0,0,5.162853736963015,2.36647061172902,gaussian,0.7234691477179988,0.2819982268816048,,,,,,,,,,,,,,-3.934231750290703e-07,-3.091310177122826e-06,5e-08,5e-08,0.0011432763066666666,20.90470066135758,20.90470066135758,1.9906226077134876e-05,5.334400758168443e-06,5e-08,5e-08
102,0,0,3.737820458946191,3.057166814931781,gaussian,0.5399023257466122,0.2674822977420248,,,,,,,,,,,,,,-2.51372695435186e-07,-9.916319110191584e-06,5e-08,5e-08,0.0011432763066666666,6.968233553785851,6.968233553785851,-1.621289390988565e-05,-1.2598535493272697e-05,5e-08,5e-08
103,0,0,4.040427472261313,2.635668189925499,gaussian,0.9435298308139681,0.3142639558869587,,,,,,,,,,,,,,-1.1358694273079059e-05,2.9907693478433493e-06,5e-08,5e-08,0.0011432763066666666,-6.968233553785865,-6.968233553785865,-2.168245175872542e-05,5.208927769223255e-06,5e-08,5e-08
104,0,0,3.457164293476584,3.927948704099161,gaussian,0.7575278520131815,0.2867347794767054,,,,,,,,,,,,,,3.4737636724601287e-06,2.0888523508995266e-05,5e-08,5e-08,0.0011432763066666666,-20.904700661357595,-20.904700661357595,5.054186530488613e-05,4.729871410885443e-06,5e-08,5e-08
105,0,0,3.78697474201859,3.4376612344268,gaussian,0.877759127056026,0.2793464397281063,,,,,,,,,,,,,,-3.117182315089637e-06,4.652499060250977e-06,5e-08,5e-08,0.0016374245533333333,21.252272962868574,21.252272962868574,1.8494198958478655e-05,1.2251498140216595e-05,5e-08,5e-08
106,0,0,3.826775529507384,5.15919302836479,gaussian,0.7424732584342425,0.2326193166684971,,,,,,,,,,,,,,6.897239759791586e-06,5.086586574171664e-07,5e-08,5e-08,0.0016374245533333333,7.084090987622858,7.084090987622858,-6.789438253740537e-06,-2.436540465550547e-06,5e-08,5e-08
107,0,0,1.15473079173142,5.879826555414855,gaussian,0.6756165852587945,0.3015580621021013,,,,,,,,,,,,,,-2.920606903870696e-06,1.7958809154538559e-06,5e-08,5e-08,0.0016374245533333333,-7.084090987622872,-7.084090987622872,-4.450014091789328e-05,5.074971596556693e-06,5e-08,5e-08
108,0,0,5.125510644130872,5.908553487759968,gaussian,0.6639277044493995,0.2742458001290036,,,,,,,,,,,,,,-3.912823096474271e-07,2.3050890323960923e-05,5e-08,5e-08,0.0016374245533333333,-21.252272962868602,-21.252272962868602,1.4543820032440892e-05,1.977555705900106e-05,5e-08,5e-08
109,0,0,1.310816185382538,4.430858504535476,gaussian,0.876794289547568,0.299373809772755,,,,,,,,,,,,,,3.218175502643882e-06,-1.541481316115201e-05,5e-08,5e-08,0.0021275755199999997,21.475393641086967,21.475393641086967,8.870878874871449e-06,-1.5292600308501705e-05,5e-08,5e-08
110,0,0,7.028664642625249,0.8263471348239543,gaussian,0.7882104140935376,0.2922041152757701,,,,,,,,,,,,,,-7.007558920206467e-06,1.2096636431019268e-06,5e-08,5e-08,0.0021275755199999997,7.1584645470289985,7.1584645470289985,1.3129791378451805e-06,-4.289630715686468e-06,5e-08,5e-08
111,0,0,1.630248927120013,3.447992513184587,gaussian,0.8947057990455328,0.3168920638514697,,,,,,,,,,,,,,-8.114743614304816e-07,1.190954000615184e-05,5e-08,5e-08,0.0021275755199999997,-7.158464547028984,-7.158464547028984,-1.1124398714439805e-05,7.580865145826066e-06,5e-08,5e-08
112,0,0,7.056740344697093,3.421001590027692,gaussian,0.8045929572298254,0.2691364566344271,,,,,,,,,,,,,,-4.6193548870645775e-06,-2.6609147714842078e-06,5e-08,5e-08,0.0021275755199999997,-21.475393641086953,-21.475393641086953,-7.663191987774527e-06,-1.340461918263119e-06,5e-08,5e-08
113,0,0,4.386511827337821,3.106050646564376,gaussian,0.6636949238132754,0.2567050057908133,,,,,,,,,,,,,,-2.112629226848639e-06,-2.813133993854257e-05,5e-08,5e-08,0.001983757104,23.07283605550451,23.07283605550451,8.932933946964033e-06,-3.0168719544478084e-05,5e-08,5e-08
114,0,0,4.480198154762199,2.773844129879311,gaussian,0.8561548458381704,0.2669641382058888,,,,,,,,,,,,,,-5.120352824562536e-06,4.0536485622749336e-06,5e-08,5e-08,0.001983757104,11.536418027752262,11.536418027752262,-7.098650627740519e-05,-1.734329616017079e-05,5e-08,5e-08
115,0,0,3.107842352239776,6.029167139805113,gaussian,0.8124723101227509,0.2838624815454566,,,,,,,,,,,,,,-2.0711080275839402e-06,-1.0302365480365377e-05,5e-08,5e-08,0.001983757104,-1.4210854715202004e-14,-1.4210854715202004e-14,-6.357141303756629e-06,-1.8519353177828634e-05,5e-08,5e-08
116,0,0,6.060216320050563,4.958295691040543,gaussian,0.6461845105135177,0.3316764787188318,,,,,,,,,,,,,,9.340879242451575e-07,3.462845129797488e-05,5e-08,5e-08,0.001983757104,-11.536418027752276,-11.536418027752276,-2.7445575056776485e-05,3.454705496295206e-05,5e-08,5e-08
117,0,0,2.881664197109301,6.327218157750433,gaussian,0.7983397739962849,0.2911779135928069,,,,,,,,,,,,,,2.458734000862952e-06,1.374720239846797e-05,5e-08,5e-08,0.001983757104,-23.072836055504553,-23.072836055504553,1.9267725354921794e-05,4.376204228283689e-06,5e-08,5e-08
118,0,0,3.108863422214347,0.4056801706981878,gaussian,0.7910247808120933,0.3086450272692751,,,,,,,,,,,,,,3.4662309471101207e-06,-1.7955816840199483e-06,5e-08,5e-08,0.0023533133866666667,23.194911913090024,23.194911913090024,-6.239106115024698e-05,-3.183908401005437e-05,5e-08,5e-08
119,0,0,0.7249577250885494,1.387495875233318,gaussian,0.7180607770419679,0.2848467950105126,,,,,,,,,,,,,,3.040701367742828e-06,-7.004907942513871e-06,5e-08,5e-08,0.0023533133866666667,11.597455956545005,11.597455956545005,6.192029831316814e-05,-3.022232560175872e-06,5e-08,5e-08
120,0,0,2.740559459653067,1.557983118120263,gaussian,0.7555617393212745,0.2453295513386381,,,,,,,,,,,,,,-6.951088699226003e-06,-4.24939502130482e-06,5e-08,5e-08,0.0023533133866666667,-1.4210854715202004e-14,-1.4210854715202004e-14,-4.843494921709531e-06,-1.583048155527583e-05,5e-08,5e-08
121,0,0,1.615823608896138,3.818685093347531,gaussian,0.8063883254251148,0.2837712409659842,,,,,,,,,,,,,,-1.1729112951879609e-06,1.940374115388864e-05,5e-08,5e-08,0.0023533133866666667,-11.59745595654502,-11.59745595654502,5.1794663241934876e-05,9.683416335649433e-07,5e-08,5e-08
122,0,0,4.90868508345231,4.239296348568531,gaussian,0.6053904100091515,0.2680881514449859,,,,,,,,,,,,,,-7.317134427060669e-07,1.412583457927564e-05,5e-08,5e-08,0.0023533133866666667,-23.194911913090024,-23.194911913090024,2.0653693272560287e-05,4.458169759849887e-06,5e-08,5e-08
123,0,0,4.371373814440491,2.255290350780418,gaussian,0.9446118930678673,0.2768312918677576,,,,,,,,,,,,,,-8.564828720319772e-07,-3.0355956220057247e-05,5e-08,5e-08,0.0021710265733333334,24.25892769803957,24.25892769803957,-1.7800048294474674e-05,-4.0659704271676e-05,5e-08,5e-08
124,0,0,3.910916262496269,3.876873808150002,gaussian,0.8358658485644725,0.2699651165963634,,,,,,,,,,,,,,-4.840819397710583e-06,-6.70873614454038e-05,5e-08,5e-08,0.0021710265733333334,14.555356618823751,14.555356618823751,2.8475633406534133e-05,-6.947225944955455e-05,5e-08,5e-08
125,0,0,5.029129904107463,3.643172993687768,gaussian,0.6498930997563689,0.2950657973890427,,,,,,,,,,,,,,5.2674792997528754e-06,1.4387145918646059e-06,5e-08,5e-08,0.0021710265733333334,4.851785539607917,4.851785539607917,-1.7848613098835856e-05,-1.3884250252569482e-05,5e-08,5e-08
126,0,0,3.787667347970228,5.293669681210521,gaussian,0.8192889815480853,0.2582404531409684,,,,,,,,,,,,,,-1.4958742564738029e-06,2.260143711257309e-05,5e-08,5e-08,0.0021710265733333334,-4.851785539607917,-4.851785539607917,4.818536785926264e-05,4.80427432775721e-06,5e-08,5e-08
127,0,0,3.738951617908092,6.134463783624852,gaussian,0.6767572757554263,0.2885232921645734,,,,,,,,,,,,,,-2.6119954388754068e-06,8.119395319739536e-05,5e-08,5e-08,0.0021710265733333334,-14.555356618823751,-14.555356618823751,4.796071880913855e-05,6.469439670556571e-05,5e-08,5e-08
128,0,0,3.382811449542016,3.842065025897678,gaussian,0.7102790425775959,0.3184346914045065,,,,,,,,,,,,,,8.770534702755505e-08,1.7864380702593894e-05,5e-08,5e-08,0.0021710265733333334,-24.258927698039585,-24.258927698039585,3.380540059919114e-05,6.092880833463087e-06,5e-08,5e-08
129,0,0,1.616183816815054,4.471389459656048,gaussian,0.7537004670107448,0.3383852554604482,,,,,,,,,,,,,,-5.939809710154658e-07,-4.473387841167053e-05,5e-08,5e-08,0.0020396265066666666,25.03146653651956,25.03146653651956,-2.236538290465201e-06,-4.815896314948896e-05,5e-08,5e-08
130,0,0,1.105365675957034,4.410110150816085,gaussian,0.6780966626806428,0.295640572190374,,,,,,,,,,,,,,-2.196427079017922e-06,-8.664035921052389e-05,5e-08,5e-08,0.0020396265066666666,16.687644357679716,16.687644357679716,4.0931563416948314e-05,-8.48283295087932e-05,5e-08,5e-08
131,0,0,5.048278486068281,3.697583451821807,gaussian,0.7500521963879623,0.2374924633210727,,,,,,,,,,,,,,-1.493457097092371e-06,-1.141082779030673e-06,5e-08,5e-08,0.0020396265066666666,8.343822178839858,8.343822178839858,-1.2002027427194913e-06,-1.6485328165240752e-05,5e-08,5e-08
132,0,0,2.418017469839568,2.528395642763005,gaussian,0.8088778176130464,0.2895171943677843,,,,,,,,,,,,,,-5.89225898065097e-06,-9.944164810257155e-06,5e-08,5e-08,0.0020396265066666666,-0.0,-0.0,-5.037684701006745e-05,-2.780703631936517e-05,5e-08,5e-08
133,0,0,2.234880100875881,2.79743247098684,gaussian,0.757246373383392,0.2661255429999109,,,,,,,,,,,,,,-8.70185387155544e-06,3.861371125929154e-05,5e-08,5e-08,0.0020396265066666666,-8.343822178839844,-8.343822178839844,-1.6279282765597342e-05,2.6599100417152967e-05,5e-08,5e-08
134,0,0,1.605278781443758,6.896124554605594,gaussian,0.795954196020353,0.3018801799294146,,,,,,,,,,,,,,9.373114435974043e-06,8.539005318423061e-05,5e-08,5e-08,0.0020396265066666666,-16.687644357679687,-16.687644357679687,5.2324850854623814e-05,6.74954916857728e-05,5e-08,5e-08
135,0,0,1.220317908503289,4.697106234592068,gaussian,0.9231153337579067,0.3118417068723603,,,,,,,,,,,,,,-8.567203551995452e-07,2.6949375817645717e-05,5e-08,5e-08,0.0020396265066666666,-25.03146653651956,-25.03146653651956,3.144793601453857e-06,3.134767641379131e-05,5e-08,5e-08
136,0,0,0.8707768506931067,3.371139387073476,gaussian,0.8585161964306853,0.3072198146136699,,,,,,,,,,,,,,-6.734610919663165e-06,-6.166437115730012e-05,5e-08,5e-08,0.0022554929066666667,25.09589760214199,25.09589760214199,4.1849287141558725e-05,-4.5467533727718634e-05,5e-08,5e-08
137,0,0,1.999260622648542,1.759900874371498,gaussian,0.7047192423217845,0.2735692488891946,,,,,,,,,,,,,,3.91077664450815e-06,-0.0001049195835793978,5e-08,5e-08,0.0022554929066666667,16.730598401427983,16.730598401427983,-2.3751107547236e-05,-0.00012438518162042795,5e-08,5e-08
138,0,0,4.123063013793661,4.488699008400306,gaussian,0.7996909452287609,0.2985251759839044,,,,,,,,,,,,,,-2.2569746497194312e-06,-1.9506833733041257e-05,5e-08,5e-08,0.0022554929066666667,8.365299200713991,8.365299200713991,3.1106703935116166e-06,-3.711003675797157e-05,5e-08,5e-08
139,0,0,5.91363727787474,4.467745186244291,gaussian,0.7046668369051621,0.3020448582222819,,,,,,,,,,,,,,2.971675429776499e-06,-7.547935431770569e-06,5e-08,5e-08,0.0022554929066666667,-0.0,-0.0,2.3284262260873885e-05,-2.860234794411651e-05,5e-08,5e-08
140,0,0,5.747985442142329,4.113742606367102,gaussian,0.8038913545088563,0.2895821788486961,,,,,,,,,,,,,,-1.131925290910694e-06,3.9140132902218515e-05,5e-08,5e-08,0.0022554929066666667,-8.365299200713991,-8.365299200713991,5.393430818676975e-05,1.4042036148811445e-05,5e-08,5e-08
141,0,0,0.7401280852489306,2.479575324876084,gaussian,0.6494528898797615,0.2805367840553009,,,,,,,,,,,,,,2.410253331427267e-06,0.00010067889248469556,5e-08,5e-08,0.0022554929066666667,-16.730598401427983,-16.730598401427983,1.9938260892314128e-05,9.178399033171205e-05,5e-08,5e-08
142,0,0,0.9399603904825992,3.98852271162726,gaussian,0.8204026046985667,0.2629940735330104,,,,,,,,,,,,,,4.380207552749506e-06,1.340057234535358e-05,5e-08,5e-08,0.0022554929066666667,-25.095897602141974,-25.095897602141974,3.0424846273431003e-06,1.6601536352993952e-05,5e-08,5e-08
143,0,0,1.015279264498539,1.520187067487087,gaussian,0.8652129286476755,0.2493231525796108,,,,,,,,,,,,,,-1.695693909534174e-06,-2.3594284839326846e-05,5e-08,5e-08,0.0024684620533333332,25.14921397944846,25.14921397944846,-6.463146895406042e-06,-2.7268400407478628e-05,5e-08,5e-08
144,0,0,1.963193834498385,0.1809585306636119,gaussian,0.7926563841446937,0.2815946553707415,,,,,,,,,,,,,,7.033727659368734e-06,-8.819956283366019e-05,5e-08,5e-08,0.0024684620533333332,16.76614265296564,16.76614265296564,4.73907787248603e-05,-8.713134294839638e-05,5e-08,5e-08
145,0,0,3.129944403933524,5.340710290129899,gaussian,0.8752946032804932,0.2921706228176597,,,,,,,,,,,,,,-1.060005990449673e-05,-1.8419741100118747e-05,5e-08,5e-08,0.0024684620533333332,8.38307132648282,8.38307132648282,1.7690186131333408e-06,-3.903344410538434e-05,5e-08,5e-08
146,0,0,4.490408904948055,3.846226924023696,gaussian,0.8676946148043576,0.2950071421957246,,,,,,,,,,,,,,2.112901431984947e-07,-3.3230409498550485e-05,5e-08,5e-08,0.0024684620533333332,-0.0,-0.0,-2.0799604159895254e-05,-5.74107588726611e-05,5e-08,5e-08
147,0,0,6.04595278952967,2.744951851751834,gaussian,0.8474827705006593,0.3139531255455807,,,,,,,,,,,,,,-2.0217780355438505e-06,5.673328201968971e-05,5e-08,5e-08,0.0024684620533333332,-8.38307132648282,-8.38307132648282,9.847049979701863e-05,2.2308514378769976e-05,5e-08,5e-08
148,0,0,6.775666694197202,5.184547826915831,gaussian,0.8575397018610421,0.2994258457956763,,,,,,,,,,,,,,3.191354207594364e-06,8.957129104034333e-05,5e-08,5e-08,0.0024684620533333332,-16.766142652965655,-16.766142652965655,6.36811749747011e-05,6.505630421526917e-05,5e-08,5e-08
149,0,0,4.498791134646933,2.040203573848354,gaussian,0.6739728412636987,0.3122780599669844,,,,,,,,,,,,,,-3.0439043959073228e-06,2.982400694881168e-05,5e-08,5e-08,0.0024684620533333332,-25.14921397944846,-25.14921397944846,2.4398747714527005e-05,2.3055605620698934e-05,5e-08,5e-08
150,0,0,1.937429715056892,2.611079815850422,gaussian,0.714824121884955,0.282734426242036,,,,,,,,,,,,,,1.651617195610491e-06,-3.0940887775568572e-06,5e-08,5e-08,0.0022760520066666665,25.718475763071908,25.718475763071908,-3.062923111622744e-05,-1.9155148499905117e-05,5e-08,5e-08
151,0,0,4.910160382511149,1.885411746486689,gaussian,0.817260399425873,0.2598440854218882,,,,,,,,,,,,,,7.42707896873007e-07,-5.81356315001257e-05,5e-08,5e-08,0.0022760520066666665,18.370339830765644,18.370339830765644,-6.779564487371341e-05,-9.423790225599939e-05,5e-08,5e-08
152,0,0,4.562296134501466,6.433250367184807,gaussian,0.7882891287622014,0.2478017512513114,,,,,,,,,,,,,,6.976381966684537e-07,-0.0001132905063781286,5e-08,5e-08,0.0022760520066666665,11.02220389845938,11.02220389845938,1.5874301766170948e-05,-0.0001352341883628993,5e-08,5e-08
153,0,0,4.2133331230466,4.408932151052018,gaussian,0.7231207463959425,0.3149723619608779,,,,,,,,,,,,,,-2.7923846544585868e-06,2.0587009327067094e-05,5e-08,5e-08,0.0022760520066666665,3.6740679661531317,3.6740679661531317,1.4918509660472271e-05,-6.331720202836024e-06,5e-08,5e-08
154,0,0,4.575973071538145,5.0574728892507,gaussian,0.7749220927957969,0.2857115279951287,,,,,,,,,,,,,,1.4850952478985251e-06,2.7786134345536938e-05,5e-08,5e-08,0.0022760520066666665,-3.674067966153146,-3.674067966153146,7.644624604171186e-05,-4.824942949467908e-06,5e-08,5e-08
155,0,0,2.491210053446243,4.204211953281279,gaussian,0.8675945250338677,0.3217041553387907,,,,,,,,,,,,,,6.137919318214937e-06,0.00011296120803763095,5e-08,5e-08,0.0022760520066666665,-11.022203898459395,-11.022203898459395,-6.848992873407729e-05,0.00010551536250329817,5e-08,5e-08
156,0,0,1.925540127643378,1.143476558401425,gaussian,0.8191069562005996,0.3179063603066808,,,,,,,,,,,,,,-1.262793055283072e-06,5.800801583076555e-05,5e-08,5e-08,0.0022760520066666665,-18.370339830765644,-18.370339830765644,3.102578515062467e-05,3.998861680314538e-05,5e-08,5e-08
