MM #,m_rad [arcsec],m_azi [arcsec],sigma_rad [arcsec],sigma_azi [arcsec],distribution,alpha_rad,alpha_azi,Unnamed: 8.1,Unnamed: 9.1,Standard MM_PSF distributions,sigma_rad_,sigma_azi_,alpha_rad_,alpha_azi_,Unnamed: 15.1,Unnamed: 16.1,Unnamed: 8,Unnamed: 9,Unnamed: 15,Unnamed: 16,m_rad,m_azi,sigma_rad,sigma_azi,weight,theta_degrees,theta_position,mux,muy,sigmax,sigmay
15,0,0,2.799734580500563,2.473002493264772,gaussian,0.6840776221676219,0.2374162236214889,,,"50% Variable Asym Gaussian 4.3"" (ratio 4:1)","gaussian (2.96,50%*2.96)","gaussian (0.74,50%*0.74)",-,-,,,,,,,2.471471451943501e-06,1.3064607651140552e-05,5e-08,5e-08,0.001983757104,60.0,60.0,1.5066281347410834e-06,1.3712486413237664e-05,5e-08,5e-08
16,0,0,2.84084316582235,1.271425901673156,gaussian,0.8518906861107731,0.2949757063544478,,,"10% Variable Asym Gaussian 8"" (ratio 7:1)","gaussian (5.8,10%*5.8)","gaussian (0.83,10%*0.83)",-,-,,,,,,,1.910766588844358e-06,-9.36634713791772e-06,5e-08,5e-08,0.001983757104,48.46358197224773,48.46358197224773,-4.664898470842594e-06,-2.8806332978928008e-05,5e-08,5e-08
17,0,0,2.374899588714284,0.488445280802343,gaussian,0.6569144381349988,0.2801690216282846,,,"30% Variable Asym Gaussian 8"" (ratio 7:1)","gaussian (5.8,30%*5.8)","gaussian (0.83,30%*0.83)",-,-,,,,,,,1.355003814536361e-06,8.30893941406672e-06,5e-08,5e-08,0.001983757104,36.92716394449546,36.92716394449546,1.9617804639883357e-05,2.1490011567513697e-05,5e-08,5e-08
18,0,0,3.03104503543325,4.654719483571577,gaussian,0.7172456756269767,0.2694349205483221,,,"50% Variable Asym Gaussian 8"" (ratio 7:1)","gaussian (5.8,50%*5.8)","gaussian (0.83,50%*0.83)",-,-,,,,,,,1.251273344371622e-06,-2.159232209185642e-05,5e-08,5e-08,0.0023533133866666667,83.19491191309002,83.19491191309002,2.089212392841379e-05,-2.229585084323143e-05,5e-08,5e-08
19,0,0,3.114838017101841,1.883045615415389,gaussian,0.8497521585254127,0.3157133959874089,,,"10% Variable Pseudo-Voigt 4.3"" (alpha 10%)","gaussian (2.22057,10%*2.22057)","gaussian (0.679177,10%*0.679177)","gaussian(0.77,10%*0.77)","gaussian(0.29,10%*0.29)",,,,,,,1.3047852167969849e-06,-2.225558252809418e-05,5e-08,5e-08,0.0023533133866666667,71.597455956545,71.597455956545,3.398191522878073e-05,6.537102583033089e-06,5e-08,5e-08
20,0,0,4.968986162636184,4.394170411675969,gaussian,0.9170554595387828,0.3257696227596356,,,"30% Variable Pseudo-Voigt 4.3"" (alpha 10%)","gaussian (2.22057,30%*2.22057)","gaussian (0.679177,30%*0.679177)","gaussian(0.77,10%*0.77)","gaussian(0.29,10%*0.29)",,,,,,,3.352511411516808e-06,1.1473034236137058e-05,5e-08,5e-08,0.0023533133866666667,60.0,60.0,-2.5454412864008037e-05,-4.448253028867574e-05,5e-08,5e-08
21,0,0,6.60237235819867,5.15041627292159,gaussian,0.7517065225752787,0.3200676750756927,,,"50% Variable Pseudo-Voigt 4.3"" (alpha 10%)","gaussian (2.22057,50%*2.22057)","gaussian (0.679177,50%*0.679177)","gaussian(0.77,10%*0.77)","gaussian(0.29,10%*0.29)",,,,,,,5.9023032389745126e-06,1.828786119940933e-05,5e-08,5e-08,0.0023533133866666667,48.40254404345498,48.40254404345498,-9.11439616730508e-06,3.7321709160394654e-06,5e-08,5e-08
22,0,0,4.630343980128716,3.357474129649757,gaussian,0.6840149234892747,0.3132620604543345,,,"10% Variable Pseudo-Voigt 8"" (alpha 10%)","gaussian (4.1303,10%*4.1303)","gaussian (1.2633,10%*1.2633)","gaussian(0.77,10%*0.77)","gaussian(0.29,10%*0.29)",,,,,,,-1.9890365461101818e-06,9.818423099939199e-06,5e-08,5e-08,0.0023533133866666667,36.805088086909976,36.805088086909976,2.0474237558575517e-05,2.368461707019243e-05,5e-08,5e-08
23,0,0,2.27565602966825,2.672657406525797,gaussian,0.7857142957138818,0.2869982637318513,,,"30% Variable Pseudo-Voigt 8"" (alpha 10%)","gaussian (4.1303,30%*4.1303)","gaussian (1.2633,30%*1.2633)","gaussian(0.77,10%*0.77)","gaussian(0.29,10%*0.29)",,,,,,,-3.353388393711562e-07,-4.038070391665637e-05,5e-08,5e-08,0.0021710265733333334,84.25892769803957,84.25892769803957,3.637233896355688e-05,-2.6516339651254887e-05,5e-08,5e-08
24,0,0,4.485542635085885,4.195556136020228,gaussian,0.5985548512933923,0.2908451056810665,,,"50% Variable Pseudo-Voigt 8"" (alpha 10%)","gaussian (4.1303,50%*4.1303)","gaussian (1.2633,50%*1.2633)","gaussian(0.77,10%*0.77)","gaussian(0.29,10%*0.29)",,,,,,,3.409805864978168e-06,-6.808097904857154e-05,5e-08,5e-08,0.0021710265733333334,74.55535661882374,74.55535661882374,6.915046730643527e-05,-3.316188442212488e-05,5e-08,5e-08
