MM #,mux,muy,sigmax,sigmay,weight,distribution,alpha_azi,alpha_rad,theta_degrees
43,-0.00019777435970936915,2.0221154884581555e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,85.14921397944846
44,-0.00019271317305091722,4.883876939445146e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,76.76614265296564
45,-0.0001835338799556076,7.641274351675759e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,68.38307132648282
46,-0.00017043263362554462,0.00010235384633113724,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,60.00000000000001
47,-0.0001536893958608923,0.0001261077399021611,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,51.61692867351719
48,-0.00013366195452908542,0.0001471668249802987,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,43.233857347034366
49,-0.00011077827796127948,0.00016508108793938413,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,34.85078602055153
50,-0.00021424205517941544,1.9757626025403423e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,85.7184757630719
51,-0.00020995559981636436,4.699646901002302e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,78.37033983076564
52,-0.00020222055725414452,7.346338011201673e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,71.02220389845938
53,-0.00019116397801576375,9.872363193707973e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,63.674067966153125
54,-0.0001769674699157382,0.0001223623168515605,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,56.32593203384686
55,-0.0001598642150942417,0.00014399116197170376,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,48.977796101540605
56,-0.00014013513992662739,0.0001632549066686939,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,41.62966016923435
57,-0.00011810430071877138,0.00017983713783695904,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,34.28152423692809
58,-0.00023053214643757223,2.1104566511698195e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,85.75719081890182
59,-0.00022592989786399286,5.045943439959175e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,78.39799344207272
60,-0.0002176055136096136,7.8982996369201e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,71.03879606524364
61,-0.00020569613571693018,0.00010620533423460046,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,63.67959868841454
62,-0.00019039796805630046,0.0001316779671349498,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,56.32040131158546
63,-0.00017196304391875347,0.00015498124013879166,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,48.96120393475636
64,-0.0001506950738337672,0.00017573123794873923,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,41.602006557927275
65,-0.00012694444201812724,0.00019358610980508724,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,34.242809181098174
66,-0.00024682125474857736,2.2452464047026656e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,85.7906469121228
67,-0.00024190318262894036,5.392304861035484e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,78.42189065151629
68,-0.00023298947370616353,8.450295899890165e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,71.05313439090978
69,-0.0002202273602036402,0.00011368709141842467,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,63.68437813030325
70,-0.00020382764038306468,0.00014099339684296285,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,56.31562186969675
71,-0.00018406119668328764,0.0001659708432615839,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,48.94686560909024
72,-0.0001612545214185304,0.00018820686560145958,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,41.57810934848373
73,-0.00013578432394025644,0.0002073341802731345,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,34.20935308787721
74,-0.00026327286907029814,2.1918595066699403e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,86.22968628752173
75,-0.0002590474332784625,5.184067621129901e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,79.67226471564129
76,-0.000251432571637915,8.108446409608311e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,73.11484314376087
77,-0.00024052791844555692,0.00010926732744261558,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,66.55742157188043
78,-0.0002264761522561752,0.00013602051631074634,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,60.0
79,-0.00020946112904911526,0.00016099398689290893,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,53.44257842811958
