file,n,sr_mean,sr_std,sa_mean,sa_std
20260125T115903Z_3_A_eff1_keV_MM_PSF50_Variable_Pseudo-Voigt_8_alpha_10_Alignment0_Gravity_offloadGZ_Thermal30_deg_FMS_Tilt_MM_PSF_sampling_detailed_1769342357.csv,600,0.1367435333122105,0.7505495274935664,0.06137237879471473,0.4101132117744302
20260125T115903Z_4_A_eff1_keV_MM_PSF50_Variable_Pseudo-Voigt_8_alpha_10_AlignmentStandard_medialario_Gravity_offloadGZ_Thermal30_deg_FMS_Tilt_MM_PSF_sampling_detailed_1769342362.csv,600,0.14875421165170397,0.8450769702889098,0.05941444981521901,0.3400534482270983
20260125T115903Z_5_A_eff6_keV_MM_PSFFixed_Asym_Gaussian_8_ratio_71_Alignment0_Gravity_offloadGZ_Thermal30_deg_FMS_Tilt_MM_PSF_sampling_detailed_1769342367.csv,600,5.687483335266423,0.6134786065198582,0.847675230741956,0.20348251440039017
20260125T115903Z_6_A_eff6_keV_MM_PSFFixed_Asym_Gaussian_8_ratio_71_AlignmentStandard_medialario_Gravity_offloadGZ_Thermal30_deg_FMS_Tilt_MM_PSF_sampling_detailed_1769342372.csv,600,5.703062473356881,0.5752687837034957,0.8551909287305913,0.23354233105618616
20260125T115903Z_7_A_eff6_keV_MM_PSF50_Variable_Pseudo-Voigt_8_alpha_10_Alignment0_Gravity_offloadGZ_Thermal30_deg_FMS_Tilt_MM_PSF_sampling_detailed_1769342376.csv,600,0.142090615129775,0.7851356725869424,0.05805521732955083,0.33906670461662364
20260125T115903Z_8_A_eff6_keV_MM_PSF50_Variable_Pseudo-Voigt_8_alpha_10_AlignmentStandard_medialario_Gravity_offloadGZ_Thermal30_deg_FMS_Tilt_MM_PSF_sampling_detailed_1769342381.csv,600,0.1345895645953962,0.7186030099315358,0.05666443701660596,0.3322367174533317
20260125T120016Z_1_A_eff1_keV_MM_PSFFixed_Asym_Gaussian_8_ratio_71_Alignment0_Gravity_offloadGZ_Thermal30_deg_FMS_Tilt_MM_PSF_sampling_detailed_1769342421.csv,600,5.694400766232179,0.6080235921765436,0.8571565020324825,0.2981877880469609
20260125T120016Z_2_A_eff1_keV_MM_PSFFixed_Asym_Gaussian_8_ratio_71_AlignmentStandard_medialario_Gravity_offloadGZ_Thermal30_deg_FMS_Tilt_MM_PSF_sampling_detailed_1769342426.csv,600,5.6635412731618455,0.6980478095411912,0.8419393745967132,0.1954332609741568
20260125T120016Z_3_A_eff1_keV_MM_PSF50_Variable_Pseudo-Voigt_8_alpha_10_Alignment0_Gravity_offloadGZ_Thermal30_deg_FMS_Tilt_MM_PSF_sampling_detailed_1769342430.csv,600,0.12960157746443518,0.6947175464423536,0.057026919509849526,0.3413384121320935
20260125T120016Z_4_A_eff1_keV_MM_PSF50_Variable_Pseudo-Voigt_8_alpha_10_AlignmentStandard_medialario_Gravity_offloadGZ_Thermal30_deg_FMS_Tilt_MM_PSF_sampling_detailed_1769342435.csv,600,0.1277019082933071,0.6950849786322171,0.05271694139559208,0.31489485901860087
20260125T120016Z_5_A_eff6_keV_MM_PSFFixed_Asym_Gaussian_8_ratio_71_Alignment0_Gravity_offloadGZ_Thermal30_deg_FMS_Tilt_MM_PSF_sampling_detailed_1769342440.csv,600,5.694819494825658,0.5777862200308723,0.8527711227947182,0.2197284038238207
20260125T120016Z_6_A_eff6_keV_MM_PSFFixed_Asym_Gaussian_8_ratio_71_AlignmentStandard_medialario_Gravity_offloadGZ_Thermal30_deg_FMS_Tilt_MM_PSF_sampling_detailed_1769342445.csv,600,5.685296029766992,0.6247960259192012,0.8475157666804403,0.20522345190449348
20260125T120016Z_7_A_eff6_keV_MM_PSF50_Variable_Pseudo-Voigt_8_alpha_10_Alignment0_Gravity_offloadGZ_Thermal30_deg_FMS_Tilt_MM_PSF_sampling_detailed_1769342450.csv,600,0.15193453099009027,0.8616976452114117,0.0678289798594109,0.4296309580104822
20260125T120016Z_8_A_eff6_keV_MM_PSF50_Variable_Pseudo-Voigt_8_alpha_10_AlignmentStandard_medialario_Gravity_offloadGZ_Thermal30_deg_FMS_Tilt_MM_PSF_sampling_detailed_1769342454.csv,600,0.14354508050223785,0.77193470782222,0.06184685305553998,0.37251907922467375
