pct_best,diam_arcsec_best,pct_origin,diam_arcsec_origin
0.0,0.0,0.0,0.0
0.2687652001570311,0.20559049735911572,0.2688630237788391,0.2055709991734987
0.7838272085717425,0.41118099471823144,0.7839900453776191,0.4111419983469974
1.5156540053165868,0.616771492077347,1.5158232561404572,0.616712997520496
2.434893483726894,0.8223619894364629,2.4350162143038663,0.8222839966939948
3.514228885524875,1.0279524867955785,3.5142629121287037,1.0278549958674936
4.728739422569625,1.233542984154694,4.728652347407785,1.233425995040992
6.055905975518933,1.4391334815138102,6.055673112048787,1.438996994214491
7.475561252329858,1.6447239788729258,7.475164262192896,1.6445679933879895
8.9698011380972,1.8503144762320414,8.969227174876853,1.8501389925614884
10.522849508601853,2.055904973591157,10.522090464859389,2.0557099917349873
12.120891022698348,2.2614954709502726,12.119942778326019,2.2612809909084857
13.7518906963562,2.467085968309388,13.750752400162838,2.466851990081984
15.405413405511947,2.672676465668504,15.404086828576327,2.672422989255483
17.072450736679865,2.8782669630276203,17.07093971485916,2.877993988428982
18.745258943049095,3.083857460386736,18.74356890891527,3.0835649876024807
20.41720972386959,3.2894479577458515,20.415347319397892,3.289135986775979
22.082654451364824,3.495038455104967,22.08062720981244,3.494706985949478
23.736801850698892,3.7006289524640827,23.734617936438045,3.700277985122977
25.37560873888597,3.906219449823199,25.373276735442506,3.9058489842964756
26.995683142660372,4.111809947182314,26.993211880812762,4.1114199834699745
28.594198914576435,4.31740044454143,28.59159733373945,4.316990982643473
30.168820845938306,4.522990941900545,30.16609788316372,4.522561981816971
31.717639227589107,4.728581439259662,31.714803729426027,4.72813298099047
33.239112820711995,4.934171936618776,33.23617347393677,4.933703980163968
34.732019251394725,5.139762433977893,34.72898452927532,5.1392749793374675
36.195411917627425,5.345352931337008,36.19229003894456,5.344845978510966
37.62858258240793,5.550943428696124,37.62538148092675,5.550416977684465
39.03102891304469,5.756533926055241,39.027756215527376,5.755987976857964
40.40242630972764,5.962124423414355,40.39908932091029,5.961558976031463
41.74260344377778,6.167714920773472,41.73920913701418,6.167129975204961
43.05152099701514,6.3733054181325866,43.04807600952328,6.37270097437846
44.32925315845051,6.578895915491703,44.32576379029161,6.578271973551958
45.5759714932895,6.784486412850819,45.572443709368734,6.7838429727254566
46.79193085231765,6.990076910209934,46.78837028682563,6.989413971898956
47.97745703732219,7.19566740756905,47.97386900014031,7.194984971072454
49.13293598045988,7.4012579049281655,49.12932546513583,7.400555970245954
50.25880423256396,7.606848402287281,50.25517592552915,7.606126969419452
51.3555405875042,7.812438899646398,51.35189887825676,7.811697968592951
52.423658697152796,8.018029397005513,52.420007689171065,8.01726896776645
53.46370055462594,8.223619894364628,53.46004407681043,8.222839966939949
54.476230742688216,8.429210391723744,54.47257236115768,8.428410966113447
55.46183135999245,8.63480088908286,55.45817439008269,8.633981965286946
56.42109755066337,8.840391386441976,56.41744506899784,8.839552964460443
57.3546335730931,9.04598188380109,57.35098842961215,9.045123963633943
58.263049352146055,9.251572381160207,58.259414181998295,9.250694962807442
59.14695746567126,9.457162878519323,59.14333470088555,9.45626596198094
60.00697052164297,9.662753375878438,60.00336240251344,9.661836961154439
60.84369888669028,9.868343873237553,60.84010747281976,9.867407960327936
61.6577487304762,10.07393437059667,61.6541759114353,10.072978959501437
62.44972035353704,10.279524867955786,62.44616785910671,10.278549958674935
63.22020676894154,10.485115365314902,63.21667617891682,10.484120957848434
63.96979251058583,10.690705862674015,63.966285264126824,10.689691957021932
64.69905264318136,10.896296360033132,64.69557004770492,10.895262956195431
65.40855195107319,11.101886857392248,65.40509519068526,11.10083395536893
66.09884428497827,11.307477354751365,66.09541442845197,11.306404954542428
66.77047204757788,11.513067852110481,66.76707005588672,11.511975953715927
