index,sr_template,sa_template,sr_def,sa_def,seed,sampled_sr_raw,sampled_sa_raw
0,0.01,0.01,,,3236503008,0.01,0.01
1,1.82635,1.82635,,,3236503009,1.82635,1.82635
2,3.39833,3.39833,,,3236503010,3.39833,3.39833
3,2.96374090124762,0.740935225311906,,,3236503011,2.96374090124762,0.740935225311906
4,5.7972050891626,0.828172155594657,,,3236503012,5.7972050891626,0.828172155594657
5,2.22057,0.679177,,,3236503013,2.22057,0.679177
6,4.1303,1.2633,,,3236503014,4.1303,1.2633
7,"gamma (1.82635,10%*1.82635)","gamma (1.82635,10%*1.82635)",,,3236503015,2.1493291821135627,2.1493291821135627
8,"gamma (1.82635,30%*1.82635)","gamma (1.82635,30%*1.82635)",,,3236503016,1.638521058397946,1.638521058397946
9,"gamma (1.82635,50%*1.82635)","gamma (1.82635,50%*1.82635)",,,3236503017,0.732896927361303,0.732896927361303
10,"gamma (3.39833,10%*3.39833)","gamma (3.39833,10%*3.39833)",,,3236503018,3.153952087126914,3.153952087126914
11,"gamma (3.39833,30%*3.39833)","gamma (3.39833,30%*3.39833)",,,3236503019,2.339628883211049,2.339628883211049
12,"gamma (3.39833,50%*3.39833)","gamma (3.39833,50%*3.39833)",,,3236503020,0.5461423512511036,0.5461423512511036
13,"gamma (2.96374,10%*2.96374)","gamma (0.74093,10%*0.74093)",,,3236503021,2.839117500970495,0.7097745854879538
14,"gamma (2.96374,30%*2.96374)","gamma (0.74093,30%*0.74093)",,,3236503022,3.7592605288965775,0.9398087901352145
15,"gamma (2.96374,50%*2.96374)","gamma (0.74093,50%*0.74093)",,,3236503023,1.7876690733691463,0.44691425244164523
16,"gamma (5.79720,10%*5.79720)","gamma (0.82817,10%*0.82817)",,,3236503024,6.753200568548466,0.9647412742107886
17,"gamma (5.79720,30%*5.79720)","gamma (0.82817,30%*0.82817)",,,3236503025,3.3229363034759087,0.4747043673583183
18,"gamma (5.79720,50%*5.79720)","gamma (0.82817,50%*0.82817)",,,3236503026,4.039185496281478,0.577025504114992
19,"gamma (2.22057,10%*2.22057)","gamma (0.679177,10%*0.679177)",,,3236503027,2.339314437469225,0.7154958239087422
20,"gamma (2.22057,30%*2.22057)","gamma (0.679177,30%*0.679177)",,,3236503028,2.6995022191434623,0.8256617979578214
21,"gamma (2.22057,50%*2.22057)","gamma (0.679177,50%*0.679177)",,,3236503029,0.3625420236988696,0.11088603558083157
22,"gamma (4.1303,10%*4.1303)","gamma (1.2633,10%*1.2633)",,,3236503030,3.455275973173337,1.056836098324547
23,"gamma (4.1303,30%*4.1303)","gamma (1.2633,30%*1.2633)",,,3236503031,4.634125727115983,1.4174009227091544
24,"gamma (4.1303,50%*4.1303)","gamma (1.2633,50%*1.2633)",,,3236503032,5.516571702467869,1.6873072250750936
25,nan,nan,,,3236503033,4.130299999999999,1.2633000000000003
26,nan,nan,,,3236503034,4.130299999999999,1.2633000000000003
27,nan,nan,,,3236503035,4.130299999999999,1.2633000000000003
28,nan,nan,,,3236503036,4.130299999999999,1.2633000000000003
29,nan,nan,,,3236503037,4.130299999999999,1.2633000000000003
30,nan,nan,,,3236503038,4.130299999999999,1.2633000000000003
31,nan,nan,,,3236503039,4.130299999999999,1.2633000000000003
32,nan,nan,,,3236503040,4.130299999999999,1.2633000000000003
33,nan,nan,,,3236503041,4.130299999999999,1.2633000000000003
34,nan,nan,,,3236503042,4.130299999999999,1.2633000000000003
35,nan,nan,,,3236503043,4.130299999999999,1.2633000000000003
36,nan,nan,,,3236503044,4.130299999999999,1.2633000000000003
37,nan,nan,,,3236503045,4.130299999999999,1.2633000000000003
38,nan,nan,,,3236503046,4.130299999999999,1.2633000000000003
39,nan,nan,,,3236503047,4.130299999999999,1.2633000000000003
40,nan,nan,,,3236503048,4.130299999999999,1.2633000000000003
