MM #,m_rad [arcsec],m_azi [arcsec],sigma_rad [arcsec],sigma_azi [arcsec],distribution,alpha_rad,alpha_azi,Unnamed: 8,Unnamed: 9,Standard MM_PSF distributions,sigma_rad_,sigma_azi_,alpha_rad_,alpha_azi_,Unnamed: 15,Unnamed: 16,m_rad,m_azi,sigma_rad,sigma_azi,weight,theta_degrees,theta_position,mux,muy,sigmax,sigmay
246,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,3.4337231495799222e-06,,,0.0024684620533333332,-60.0,-60.0,-1.6861601096387007e-05,-1.2813217183187291e-05,,
247,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,5.830188653664438e-05,,,0.0024684620533333332,-68.38307132648282,-68.38307132648282,3.6634162891742604e-05,8.912589310046444e-06,,
248,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,9.601446205339627e-05,,,0.0024684620533333332,-76.76614265296564,-76.76614265296564,8.552611306303222e-05,1.3841711182710489e-05,,
249,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,4.626690007967189e-05,,,0.0024684620533333332,-85.14921397944846,-85.14921397944846,4.758800014236132e-05,-5.771467868946549e-07,,
250,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-3.779944317273789e-05,,,0.0022760520066666665,-34.28152423692812,-34.28152423692812,-1.8993755074867637e-05,-3.5282047393382816e-05,,
251,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-8.34644685219547e-05,,,0.0022760520066666665,-41.62966016923437,-41.62966016923437,-6.089160010483694e-05,-7.244524379445321e-05,,
252,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-7.265429464919636e-05,,,0.0022760520066666665,-48.97779610154063,-48.97779610154063,-7.033930081946316e-05,-6.51342696739565e-05,,
253,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,5.468559026387571e-06,,,0.0022760520066666665,-56.32593203384687,-56.32593203384687,-1.6558584607082144e-05,-1.6401785176324292e-05,,
254,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,2.8320095771372935e-06,,,0.0022760520066666665,-63.67406796615313,-63.67406796615313,-2.0046621653000677e-05,-1.7396156519121436e-05,,
255,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,8.475936652411333e-05,,,0.0022760520066666665,-71.0222038984594,-71.0222038984594,6.048376825574751e-05,1.2367135233330487e-05,,
