MM #,m_rad [arcsec],m_azi [arcsec],sigma_rad [arcsec],sigma_azi [arcsec],distribution,alpha_rad,alpha_azi,Unnamed: 8,Unnamed: 9,Standard MM_PSF distributions,sigma_rad_,sigma_azi_,alpha_rad_,alpha_azi_,Unnamed: 15,Unnamed: 16,m_rad,m_azi,sigma_rad,sigma_azi,weight,theta_degrees,theta_position,mux,muy,sigmax,sigmay
342,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,4.254453239179463e-05,,,0.0022554929066666667,34.90410239785798,34.90410239785798,2.4762983625347867e-05,-3.892706115828047e-05,,
343,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-3.629087141189824e-05,,,0.0024684620533333332,85.14921397944849,85.14921397944849,-3.501859436524228e-05,1.6820293105702988e-06,,
344,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-8.343783693918294e-05,,,0.0024684620533333332,76.76614265296564,76.76614265296564,-8.980595053623222e-05,2.1680826041200772e-05,,
345,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-4.6480943936209005e-05,,,0.0024684620533333332,68.38307132648285,68.38307132648285,-6.175884614151688e-05,2.4243457515402457e-05,,
346,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,7.353436351757721e-06,,,0.0024684620533333332,59.99999999999997,59.99999999999997,-1.5144164106741359e-05,5.517207638302453e-06,,
347,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,5.769856353723437e-05,,,0.0024684620533333332,51.61692867351721,51.61692867351721,2.684121200627786e-05,-2.778996508083734e-05,,
348,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,9.254676817247996e-05,,,0.0024684620533333332,43.23385734703436,43.23385734703436,5.3546062798812014e-05,-6.530327634872485e-05,,
349,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,4.4949256202875903e-05,,,0.0024684620533333332,34.85078602055157,34.85078602055157,2.3552948439390434e-05,-4.0872450196437087e-05,,
350,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-3.44558280466713e-05,,,0.0022760520066666665,85.71847576307192,85.71847576307192,-3.645420268302651e-05,-1.2275125082634626e-06,,
351,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-8.41720254685344e-05,,,0.0022760520066666665,78.37033983076563,78.37033983076563,-9.331392791312293e-05,1.6648202250436214e-05,,
352,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-7.190840937356722e-05,,,0.0022760520066666665,71.02220389845937,71.02220389845937,-9.025167644405946e-05,2.7775460704439324e-05,,
353,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,9.104854151732263e-06,,,0.0022760520066666665,63.67406796615316,63.67406796615316,-1.8347065944112657e-05,3.7121685420196302e-06,,
354,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,7.318235997969993e-06,,,0.0022760520066666665,56.32593203384687,56.32593203384687,-2.0082666781125043e-05,5.005047574800923e-06,,
355,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,8.142653614804507e-05,,,0.0022760520066666665,48.97779610154063,48.97779610154063,3.993775488951747e-05,-4.5127937456783625e-05,,
356,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,9.373078780751313e-05,,,0.0022760520066666665,41.62966016923434,41.62966016923434,4.996143420226045e-05,-6.795677994957073e-05,,
357,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,4.377690351654403e-05,,,0.0022760520066666665,34.28152423692809,34.28152423692809,1.9137129864599146e-05,-3.887220659651526e-05,,
358,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-3.766654729493292e-05,,,0.0024343357733333337,85.75719081890182,85.75719081890182,-4.347902795786203e-05,-4.170081734658346e-06,,
359,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-8.560937747890152e-05,,,0.0024343357733333337,78.39799344207273,78.39799344207273,-9.9431463980768e-05,1.460989209192957e-05,,
360,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-7.317638788743533e-05,,,0.0024343357733333337,71.03879606524362,71.03879606524362,-9.582284037834029e-05,2.632953459251811e-05,,
361,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,1.3410494809480617e-05,,,0.0024343357733333337,63.67959868841453,63.67959868841453,-1.920965110417505e-05,1.8774508913761013e-07,,
362,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,3.1931403911750843e-06,,,0.0024343357733333337,56.32040131158544,56.32040131158544,-2.8274222260219944e-05,6.203222368055609e-06,,
363,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,8.320409075262884e-05,,,0.0024343357733333337,48.96120393475633,48.96120393475633,3.654055546090681e-05,-4.662306716792775e-05,,
364,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,9.563547832906348e-05,,,0.0024343357733333337,41.60200655792727,41.60200655792727,4.581921505412482e-05,-6.885166991796584e-05,,
365,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,4.738121806593592e-05,,,0.0024343357733333337,34.24280918109815,34.24280918109815,1.6167692548450617e-05,-4.1028004960991376e-05,,
366,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-3.070053562258207e-05,,,0.0025734775266666667,85.79064691212281,85.79064691212281,-3.745450263684914e-05,-8.17715961541243e-06,,
367,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-8.314514518388342e-05,,,0.0025734775266666667,78.42189065151629,78.42189065151629,-9.778294974381793e-05,1.0805137296216902e-05,,
368,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-6.929307442060336e-05,,,0.0025734775266666667,71.05313439090978,71.05313439090978,-9.466492132389256e-05,2.2722101707239544e-05,,
369,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,8.279539713967432e-06,,,0.0025734775266666667,63.68437813030326,63.68437813030326,-2.7048725978576482e-05,1.3494343669259507e-06,,
370,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,5.412618014331564e-06,,,0.0025734775266666667,56.31562186969677,56.31562186969677,-3.0320096819666956e-05,3.3832477877091994e-06,,
371,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,7.78291356573821e-05,,,0.0025734775266666667,48.946865609090224,48.946865609090224,2.916822266184702e-05,-4.419328643606103e-05,,
372,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,9.376595206534154e-05,,,0.0025734775266666667,41.57810934848371,41.57810934848371,4.2221114535745005e-05,-6.900031675849141e-05,,
373,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,4.143025443927829e-05,,,0.0025734775266666667,34.20935308787719,34.20935308787719,9.775642357516378e-06,-3.7039516491798856e-05,,
374,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-2.7665838104627552e-05,,,0.002362368379259259,86.22968628752176,86.22968628752176,-3.5211241571422404e-05,-1.1606500730637632e-05,,
375,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-7.904846803529411e-05,,,0.002362368379259259,79.67226471564132,79.67226471564132,-9.206015744739216e-05,3.843854252038089e-06,,
376,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-8.933089133482457e-05,,,0.002362368379259259,73.11484314376088,73.11484314376088,-0.00011024447650112896,2.1006715907211858e-05,,
377,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-4.4911827611500284e-05,,,0.002362368379259259,66.55742157188047,66.55742157188047,-7.537816207274124e-05,1.848457329096053e-05,,
378,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,4.807827449346829e-06,,,0.002362368379259259,60.00000000000006,60.00000000000006,-3.280531189722335e-05,1.6076288387518428e-06,,
379,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,5.32641534111433e-05,,,0.002362368379259259,53.44257842811962,53.44257842811962,8.224771194280832e-06,-2.6479828739172456e-05,,
380,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,9.995975142126479e-05,,,0.002362368379259259,46.88515685623915,46.88515685623915,4.5346648370625685e-05,-6.528273936889871e-05,,
381,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,9.12658127211562e-05,,,0.002362368379259259,40.327735284358766,40.327735284358766,3.911824070794432e-05,-7.121636519454595e-05,,
382,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,3.991170527517708e-05,,,0.002362368379259259,33.7703137124783,33.7703137124783,7.110120185373911e-06,-3.616948597512352e-05,,
383,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-3.100642014719003e-05,,,0.00245434197037037,86.25580269716198,86.25580269716198,-2.7402387973336756e-05,-1.0292615616721394e-05,,
384,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-7.773543570962338e-05,,,0.00245434197037037,79.69185202287147,79.69185202287147,-7.73325719837434e-05,5.623796614754708e-06,,
385,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-0.00010353688872670775,,,0.00245434197037037,73.12790134858102,73.12790134858102,-0.00011259269105344343,2.6044889793606997e-05,,
386,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-8.081059641181559e-05,,,0.00245434197037037,66.56395067429048,66.56395067429048,-0.00010357198311155557,3.3118510010037366e-05,,
387,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,1.9943225410894967e-06,,,0.00245434197037037,59.99999999999994,59.99999999999994,-3.510318036393667e-05,1.987051057943924e-06,,
388,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,8.755949108107249e-05,,,0.00245434197037037,53.43604932570952,53.43604932570952,3.571747204713833e-05,-5.328824674758701e-05,,
389,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,0.00011473893102491364,,,0.00245434197037037,46.87209865141901,46.87209865141901,5.7947116643622434e-05,-8.771505583869235e-05,,
390,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,9.323877446125975e-05,,,0.00245434197037037,40.30814797712847,40.30814797712847,4.194721625237903e-05,-8.559844013999212e-05,,
391,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,4.8233632679562e-05,,,0.00245434197037037,33.744197302838,33.744197302838,1.24137927562029e-05,-5.315563800404387e-05,,
392,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-2.4052191907600918e-05,,,0.002535881662222222,86.27897195715724,86.27897195715724,-2.099753191011771e-05,-1.3186643675466713e-05,,
393,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-8.035937885664738e-05,,,0.002535881662222222,79.70922896786797,79.70922896786797,-8.547880010691675e-05,4.321303833544666e-06,,
394,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-0.00010159258269218374,,,0.002535881662222222,73.13948597857862,73.13948597857862,-0.00011579486492857268,2.3899754375264177e-05,,
395,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-7.058061831478608e-05,,,0.002535881662222222,66.56974298928932,66.56974298928932,-9.548334878148267e-05,2.8223739868368595e-05,,
396,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,2.678655417609557e-06,,,0.002535881662222222,60.0,60.0,-3.449588699218117e-05,4.520293451515614e-07,,
397,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,7.809528442054696e-05,,,0.002535881662222222,53.430257010710704,53.430257010710704,2.7095562911552973e-05,-4.7455837145378753e-05,,
398,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,0.00011329675122974129,,,0.002535881662222222,46.86051402142138,46.86051402142138,5.491746952684474e-05,-8.322208041228196e-05,,
399,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,9.580208084575552e-05,,,0.002535881662222222,40.290771032132085,40.290771032132085,4.1573236346351815e-05,-8.328285161038629e-05,,
400,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,4.200955711924225e-05,,,0.002535881662222222,33.72102804284276,33.72102804284276,8.651363697787697e-06,-4.754374933609538e-05,,
401,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-4.851462095625932e-06,,,0.0011432763066666666,20.90470066135761,20.90470066135761,1.0623609171651216e-06,3.4752801204023274e-06,,
402,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-6.233821960994619e-06,,,0.0011432763066666666,6.968233553785865,6.968233553785865,1.564121958025855e-06,6.308391807308505e-06,,
403,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,1.0869200371471967e-05,,,0.0011432763066666666,-6.968233553785836,-6.968233553785836,-2.582774738772471e-07,-1.1046576852706689e-05,,
404,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,8.3496862010039e-06,,,0.0011432763066666666,-20.904700661357595,-20.904700661357595,-2.602393813700986e-06,-1.0338230547245755e-05,,
405,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-5.335204190321026e-06,,,0.0016374245533333333,21.252272962868602,21.252272962868602,1.3790255280075912e-06,4.886151762867939e-06,,
406,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-1.016682594142149e-05,,,0.0016374245533333333,7.084090987622858,7.084090987622858,2.2497330002230654e-06,1.1371459873855313e-05,,
407,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,1.7255961547829843e-05,,,0.0016374245533333333,-7.0840909876228295,-7.0840909876228295,-1.1217232849934891e-06,-1.6018853955272446e-05,,
408,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,9.582811200019918e-06,,,0.0016374245533333333,-21.252272962868574,-21.252272962868574,-3.861123051241481e-06,-1.0524446108412673e-05,,
409,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-1.1315664358130349e-05,,,0.0021275755199999997,21.475393641086995,21.475393641086995,-1.6525716120191764e-06,1.2264901172300299e-05,,
410,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-2.7158179120017255e-06,,,0.0021275755199999997,7.1584645470289985,7.1584645470289985,1.5957843086615184e-06,7.077515348361122e-06,,
411,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,9.401040210743269e-06,,,0.0021275755199999997,-7.15846454702897,-7.15846454702897,2.2217827459448153e-07,-4.9072129397492335e-06,,
412,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,1.5376349232303195e-05,,,0.0021275755199999997,-21.47539364108694,-21.47539364108694,-4.90066086608197e-06,-1.4229741569230361e-05,,
413,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-2.428515278007944e-05,,,0.001983757104,23.07283605550451,23.07283605550451,-7.114604627397408e-06,2.5014718598116438e-05,,
414,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-1.375211209474041e-05,,,0.001983757104,11.53641802775229,11.53641802775229,-7.730722281992068e-07,1.897969543848279e-05,,
415,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,3.6305686889022035e-06,,,0.001983757104,-4.263256414560601e-14,-4.263256414560601e-14,1.7898337390415333e-06,3.078583004904656e-06,,
416,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,2.1004445734445763e-05,,,0.001983757104,-11.536418027752262,-11.536418027752262,-2.0929675578557685e-06,-1.5879266787102767e-05,,
417,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,3.020780791521061e-05,,,0.001983757104,-23.072836055504595,-23.072836055504595,-1.0743750498152889e-05,-2.718656705597201e-05,,
418,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-2.3659855417749294e-05,,,0.0023533133866666667,23.194911913090024,23.194911913090024,-6.240704991582725e-06,2.4257406074713313e-05,,
419,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-2.45999495920469e-05,,,0.0023533133866666667,11.597455956545048,11.597455956545048,-1.9715769625886764e-06,3.1511350122494484e-05,,
420,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,4.469904120025709e-06,,,0.0023533133866666667,1.4210854715202004e-14,1.4210854715202004e-14,2.1505267298373783e-06,5.521904742771308e-06,,
421,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,3.180015041640722e-05,,,0.0023533133866666667,-11.597455956544962,-11.597455956544962,-5.060026693307108e-06,-2.4623448600071184e-05,,
422,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,2.848128425793369e-05,,,0.0023533133866666667,-23.194911913089996,-23.194911913089996,-1.0660946364963458e-05,-2.5621431333954452e-05,,
423,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-2.94282438222208e-05,,,0.0021710265733333334,24.258927698039585,24.258927698039585,-7.787409832628516e-06,2.624002642771497e-05,,
424,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-5.478811716355283e-05,,,0.0021710265733333334,14.55535661882378,14.55535661882378,-9.99946693536958e-06,5.975016717595278e-05,,
425,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-1.1460652779083487e-05,,,0.0021710265733333334,4.8517855396079455,4.8517855396079455,1.9322215826069906e-06,2.3781433910576843e-05,,
426,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,2.1989131622237515e-05,,,0.0021710265733333334,-4.851785539607874,-4.851785539607874,-2.0202114997737765e-07,-9.821666293084828e-06,,
427,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,6.102141531584329e-05,,,0.0021710265733333334,-14.555356618823737,-14.555356618823737,-1.4916897425026543e-05,-5.36644641536494e-05,,
428,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,3.464511369931983e-05,,,0.0021710265733333334,-24.258927698039557,-24.258927698039557,-1.500293123934422e-05,-3.404214461847112e-05,,
429,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-3.929723376330213e-05,,,0.0020396265066666666,25.03146653651956,25.03146653651956,-1.249625030446975e-05,3.364257303305009e-05,,
430,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-6.969999569784995e-05,,,0.0020396265066666666,16.68764435767973,16.68764435767973,-1.7217736599582363e-05,7.25956541691478e-05,,
431,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-3.446105254384373e-05,,,0.0020396265066666666,8.343822178839886,8.343822178839886,-3.4110413761869586e-06,4.7723932136333476e-05,,
432,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,5.615849687368451e-06,,,0.0020396265066666666,5.684341886080802e-14,5.684341886080802e-14,1.13277459563007e-06,1.055919123690894e-05,,
433,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,4.4334509267071824e-05,,,0.0020396265066666666,-8.343822178839815,-8.343822178839815,-5.6223557900519575e-06,-3.061422362966336e-05,,
434,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,7.791052842530314e-05,,,0.0020396265066666666,-16.6876443576797,-16.6876443576797,-2.2722889870950822e-05,-6.97895205691275e-05,,
435,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,4.610512736750672e-05,,,0.0020396265066666666,-25.03146653651953,-25.03146653651953,-2.136275771486891e-05,-4.510116256839855e-05,,
436,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-3.404594435740446e-05,,,0.0022554929066666667,25.095897602141974,25.095897602141974,-1.1821215532967536e-05,2.805365116623724e-05,,
437,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-7.801131501953926e-05,,,0.0022554929066666667,16.730598401427997,16.730598401427997,-2.1345012348140735e-05,8.146468893590852e-05,,
438,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-4.176026106315056e-05,,,0.0022554929066666667,8.365299200713977,8.365299200713977,-6.148910969230919e-06,5.7499992459828864e-05,,
439,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,6.030764085906568e-06,,,0.0022554929066666667,1.4210854715202004e-14,1.4210854715202004e-14,-1.926929886406838e-07,1.326288663117257e-05,,
440,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,5.264208382195759e-05,,,0.0022554929066666667,-8.365299200714006,-8.365299200714006,-7.75636641298782e-06,-3.60463368113331e-05,,
441,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,8.810500900054954e-05,,,0.0022554929066666667,-16.73059840142797,-16.73059840142797,-2.6693841589506848e-05,-7.807160628943376e-05,,
442,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,4.1477291303458185e-05,,,0.0022554929066666667,-25.09589760214199,-25.09589760214199,-2.0511498725128958e-05,-4.0902530123287935e-05,,
443,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-3.603625485317372e-05,,,0.0024684620533333332,25.14921397944846,25.14921397944846,-1.4954435608227166e-05,3.0442139645239194e-05,,
444,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-8.301756391036184e-05,,,0.0024684620533333332,16.76614265296564,16.76614265296564,-2.5012608763336846e-05,8.756307411496512e-05,,
445,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-4.622104265022922e-05,,,0.0024684620533333332,8.38307132648282,8.38307132648282,-8.929317876922371e-06,6.45467185459059e-05,,
446,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,6.47238640558135e-06,,,0.0024684620533333332,5.684341886080802e-14,5.684341886080802e-14,-1.923361788020506e-06,1.5862712058264973e-05,,
447,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,5.807438657536013e-05,,,0.0024684620533333332,-8.383071326482806,-8.383071326482806,-9.931725915244858e-06,-3.843406565475406e-05,,
448,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,9.470425170702131e-05,,,0.0024684620533333332,-16.766142652965556,-16.766142652965556,-2.9876204550742135e-05,-8.229199597657949e-05,,
449,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,4.410090155073323e-05,,,0.0024684620533333332,-25.149213979448476,-25.149213979448476,-2.2877154575944592e-05,-4.1426265866424904e-05,,
450,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-3.390965809058365e-05,,,0.0022760520066666665,25.718475763071893,25.718475763071893,-1.7880583732883585e-05,2.9917371515184402e-05,,
451,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-8.273292671750634e-05,,,0.0022760520066666665,18.370339830765644,18.370339830765644,-3.052122020016047e-05,8.699908797024117e-05,,
452,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-7.123071249870257e-05,,,0.0022760520066666665,11.022203898459395,11.022203898459395,-1.9626720418943466e-05,9.034270682960506e-05,,
453,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,9.007166946308005e-06,,,0.0022760520066666665,3.6740679661531885,3.6740679661531885,-4.684752533024108e-06,1.6625632132124742e-05,,
454,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,3.982029596315458e-06,,,0.0022760520066666665,-3.6740679661530606,-3.6740679661530606,-4.275627157478093e-06,2.2065431210611166e-05,,
455,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,8.433664032787375e-05,,,0.0022760520066666665,-11.022203898459324,-11.022203898459324,-1.857014104844644e-05,-6.127339457472787e-05,,
456,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,9.63247603304686e-05,,,0.0022760520066666665,-18.370339830765573,-18.370339830765573,-3.392948975963457e-05,-8.136013323951453e-05,,
457,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,4.390910298616305e-05,,,0.0022760520066666665,-25.718475763071865,-25.718475763071865,-2.359737612029066e-05,-3.7941257084537674e-05,,
458,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-3.6779465755999437e-05,,,0.0024343357733333337,25.75719081890182,25.75719081890182,-2.3784286271600766e-05,3.411001285992174e-05,,
459,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-8.378804384811313e-05,,,0.0024343357733333337,18.397993442072746,18.397993442072746,-3.505824750176617e-05,9.075823429502244e-05,,
460,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-7.157881564436227e-05,,,0.0024343357733333337,11.038796065243616,11.038796065243616,-2.3187155589231416e-05,9.329872731459971e-05,,
461,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,1.2604359067474323e-05,,,0.0024343357733333337,3.679598688414501,3.679598688414501,-7.830112552996675e-06,1.599084666331366e-05,,
462,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-3.886385873936898e-10,,,0.0024343357733333337,-3.679598688414572,-3.679598688414572,-6.937372828243319e-06,2.9329102739823925e-05,,
463,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,8.559249910836223e-05,,,0.0024343357733333337,-11.038796065243645,-11.038796065243645,-2.1230564775409174e-05,-5.884688084639545e-05,,
464,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,9.806331259928195e-05,,,0.0024343357733333337,-18.397993442072718,-18.397993442072718,-3.636955845645619e-05,-7.833156069629112e-05,,
465,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,4.830821455854557e-05,,,0.0024343357733333337,-25.757190818901833,-25.757190818901833,-2.6934236022494202e-05,-3.749478877637293e-05,,
466,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-2.9393148977711648e-05,,,0.0025734775266666667,25.790646912122767,25.790646912122767,-2.4309968306345527e-05,2.6506054645319445e-05,,
467,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-8.103325350213592e-05,,,0.0025734775266666667,18.42189065151625,18.42189065151625,-3.756282715946705e-05,8.722833160875142e-05,,
468,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-6.685987863016235e-05,,,0.0025734775266666667,11.053134390909776,11.053134390909776,-2.56065596303548e-05,8.95679991386319e-05,,
469,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,8.274160306631475e-06,,,0.0025734775266666667,3.6843781303032443,3.6843781303032443,-1.0723678268776202e-05,2.234122666714456e-05,,
470,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,4.0590812695488977e-07,,,0.0025734775266666667,-3.6843781303032728,-3.6843781303032728,-1.0193847997712218e-05,3.136128153511188e-05,,
471,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,7.838033650483411e-05,,,0.0025734775266666667,-11.053134390909804,-11.053134390909804,-2.219822508841801e-05,-4.945733482894857e-05,,
