MM #,m_rad,m_azi,sigma_rad,sigma_azi,distribution,alpha_azi,alpha_rad,weight,sigmax,sigmay
55,0.0,0.0,5e-08,5e-08,gaussian,0.3255146802593751,0.8061059066277314,0.0,5e-08,5e-08
56,0.0,0.0,5e-08,5e-08,gaussian,0.2458898561488594,0.8297500008190792,0.0,5e-08,5e-08
57,0.0,0.0,5e-08,5e-08,gaussian,0.2998566058129453,0.8275641857906526,0.0,5e-08,5e-08
58,0.0,0.0,5e-08,5e-08,gaussian,0.2430410531982918,0.7153650514984444,0.0,5e-08,5e-08
59,0.0,0.0,5e-08,5e-08,gaussian,0.232737543598911,0.7194818078169019,0.0,5e-08,5e-08
60,0.0,0.0,5e-08,5e-08,gaussian,0.2904694313081103,0.7507703295284872,0.0,5e-08,5e-08
61,0.0,0.0,5e-08,5e-08,gaussian,0.3071084242676698,0.7436336838883897,0.0,5e-08,5e-08
62,0.0,0.0,5e-08,5e-08,gaussian,0.2945792506167218,0.5853906161154707,0.0,5e-08,5e-08
63,0.0,0.0,5e-08,5e-08,gaussian,0.2587459073215618,0.9544660876082602,0.0,5e-08,5e-08
64,0.0,0.0,5e-08,5e-08,gaussian,0.3186341386781596,0.751272503255551,0.0,5e-08,5e-08
65,0.0,0.0,5e-08,5e-08,gaussian,0.307395470925367,0.823914407432985,0.0,5e-08,5e-08
66,0.0,0.0,5e-08,5e-08,gaussian,0.3015660653507908,0.7987206180604955,0.0,5e-08,5e-08
67,0.0,0.0,5e-08,5e-08,gaussian,0.310718945831125,0.7638297014278899,0.0,5e-08,5e-08
68,0.0,0.0,5e-08,5e-08,gaussian,0.2776729361158065,0.5631398710210814,0.0,5e-08,5e-08
69,0.0,0.0,5e-08,5e-08,gaussian,0.2562147513849919,0.7441161933862971,0.0,5e-08,5e-08
70,0.0,0.0,5e-08,5e-08,gaussian,0.2431437697627142,0.8051481064532672,0.0,5e-08,5e-08
71,0.0,0.0,5e-08,5e-08,gaussian,0.3039654311403233,0.6674847181819313,0.0,5e-08,5e-08
72,0.0,0.0,5e-08,5e-08,gaussian,0.3213664275640817,0.9693838219716276,0.0,5e-08,5e-08
73,0.0,0.0,5e-08,5e-08,gaussian,0.3607600507833251,0.6615989873569391,0.0,5e-08,5e-08
74,0.0,0.0,5e-08,5e-08,gaussian,0.2236705236849021,0.8532426240116363,0.0,5e-08,5e-08
75,0.0,0.0,5e-08,5e-08,gaussian,0.3009937418593609,0.8622055670717876,0.0,5e-08,5e-08
76,0.0,0.0,5e-08,5e-08,gaussian,0.2868644208729223,0.8201115096431242,0.0,5e-08,5e-08
77,0.0,0.0,5e-08,5e-08,gaussian,0.2655573261792257,0.810423205940342,0.0,5e-08,5e-08
78,0.0,0.0,5e-08,5e-08,gaussian,0.2766978940383274,0.8165100176594445,0.0,5e-08,5e-08
79,0.0,0.0,5e-08,5e-08,gaussian,0.2791065450700332,0.8950485915361436,0.0,5e-08,5e-08
80,0.0,0.0,5e-08,5e-08,gaussian,0.2864624319089646,0.8593895477670251,0.0,5e-08,5e-08
81,0.0,0.0,5e-08,5e-08,gaussian,0.3292054467154034,0.6497066162866663,0.0,5e-08,5e-08
82,0.0,0.0,5e-08,5e-08,gaussian,0.3218534252097113,0.735188470287858,0.0,5e-08,5e-08
83,0.0,0.0,5e-08,5e-08,gaussian,0.3492490324893227,0.8476114512054346,0.0,5e-08,5e-08
84,0.0,0.0,5e-08,5e-08,gaussian,0.3068598512023778,0.9024561929852948,0.0,5e-08,5e-08
85,0.0,0.0,5e-08,5e-08,gaussian,0.279407282912409,0.6682870596086826,0.0,5e-08,5e-08
86,0.0,0.0,5e-08,5e-08,gaussian,0.272620178044131,0.6903689765979125,0.0,5e-08,5e-08
87,0.0,0.0,5e-08,5e-08,gaussian,0.2656695263825486,0.8026483047477173,0.0,5e-08,5e-08
88,0.0,0.0,5e-08,5e-08,gaussian,0.2957032073415667,0.7350966083387359,0.0,5e-08,5e-08
89,0.0,0.0,5e-08,5e-08,gaussian,0.2764577658609647,0.7753000609188263,0.0,5e-08,5e-08
90,0.0,0.0,5e-08,5e-08,gaussian,0.2912979034542534,0.7814804664587898,0.0,5e-08,5e-08
91,0.0,0.0,5e-08,5e-08,gaussian,0.2846485693356988,0.6435138603064344,0.0,5e-08,5e-08
92,0.0,0.0,5e-08,5e-08,gaussian,0.2749443170511785,0.7952686080982133,0.0,5e-08,5e-08
93,0.0,0.0,5e-08,5e-08,gaussian,0.2887155663543919,0.8036789311271981,0.0,5e-08,5e-08
94,0.0,0.0,5e-08,5e-08,gaussian,0.2943884653184236,0.7984487074983021,0.0,5e-08,5e-08
95,0.0,0.0,5e-08,5e-08,gaussian,0.3063668412339434,0.7941286108015999,0.0,5e-08,5e-08
96,0.0,0.0,5e-08,5e-08,gaussian,0.2537475178873173,0.7279478598064884,0.0,5e-08,5e-08
97,0.0,0.0,5e-08,5e-08,gaussian,0.3329443035833266,0.7433394435563851,0.0,5e-08,5e-08
98,0.0,0.0,5e-08,5e-08,gaussian,0.2918556654158573,0.8629638055407576,0.0,5e-08,5e-08
99,0.0,0.0,5e-08,5e-08,gaussian,0.2782620321803461,0.8387619849854957,0.0,5e-08,5e-08
100,0.0,0.0,5e-08,5e-08,gaussian,0.2384281685376321,0.7172083712364486,0.0,5e-08,5e-08
101,0.0,0.0,5e-08,5e-08,gaussian,0.2819982268816048,0.7234691477179988,0.0011432763066666666,5e-08,5e-08
102,0.0,0.0,5e-08,5e-08,gaussian,0.2674822977420248,0.5399023257466122,0.0011432763066666666,5e-08,5e-08
103,0.0,0.0,5e-08,5e-08,gaussian,0.3142639558869587,0.9435298308139681,0.0011432763066666666,5e-08,5e-08
104,0.0,0.0,5e-08,5e-08,gaussian,0.2867347794767054,0.7575278520131815,0.0011432763066666666,5e-08,5e-08
105,0.0,0.0,5e-08,5e-08,gaussian,0.2793464397281063,0.877759127056026,0.0,5e-08,5e-08
106,0.0,0.0,5e-08,5e-08,gaussian,0.2326193166684971,0.7424732584342425,0.0,5e-08,5e-08
107,0.0,0.0,5e-08,5e-08,gaussian,0.3015580621021013,0.6756165852587945,0.0,5e-08,5e-08
108,0.0,0.0,5e-08,5e-08,gaussian,0.2742458001290036,0.6639277044493995,0.0,5e-08,5e-08
109,0.0,0.0,5e-08,5e-08,gaussian,0.299373809772755,0.876794289547568,0.0,5e-08,5e-08
110,0.0,0.0,5e-08,5e-08,gaussian,0.2922041152757701,0.7882104140935376,0.0,5e-08,5e-08
111,0.0,0.0,5e-08,5e-08,gaussian,0.3168920638514697,0.8947057990455328,0.0,5e-08,5e-08
112,0.0,0.0,5e-08,5e-08,gaussian,0.2691364566344271,0.8045929572298254,0.0,5e-08,5e-08
113,0.0,0.0,5e-08,5e-08,gaussian,0.2567050057908133,0.6636949238132754,0.0,5e-08,5e-08
114,0.0,0.0,5e-08,5e-08,gaussian,0.2669641382058888,0.8561548458381704,0.0,5e-08,5e-08
115,0.0,0.0,5e-08,5e-08,gaussian,0.2838624815454566,0.8124723101227509,0.0,5e-08,5e-08
116,0.0,0.0,5e-08,5e-08,gaussian,0.3316764787188318,0.6461845105135177,0.0,5e-08,5e-08
117,0.0,0.0,5e-08,5e-08,gaussian,0.2911779135928069,0.7983397739962849,0.0,5e-08,5e-08
118,0.0,0.0,5e-08,5e-08,gaussian,0.3086450272692751,0.7910247808120933,0.0,5e-08,5e-08
119,0.0,0.0,5e-08,5e-08,gaussian,0.2848467950105126,0.7180607770419679,0.0,5e-08,5e-08
120,0.0,0.0,5e-08,5e-08,gaussian,0.2453295513386381,0.7555617393212745,0.0,5e-08,5e-08
121,0.0,0.0,5e-08,5e-08,gaussian,0.2837712409659842,0.8063883254251148,0.0,5e-08,5e-08
122,0.0,0.0,5e-08,5e-08,gaussian,0.2680881514449859,0.6053904100091515,0.0,5e-08,5e-08
123,0.0,0.0,5e-08,5e-08,gaussian,0.2768312918677576,0.9446118930678673,0.0,5e-08,5e-08
124,0.0,0.0,5e-08,5e-08,gaussian,0.2699651165963634,0.8358658485644725,0.0,5e-08,5e-08
125,0.0,0.0,5e-08,5e-08,gaussian,0.2950657973890427,0.6498930997563689,0.0,5e-08,5e-08
126,0.0,0.0,5e-08,5e-08,gaussian,0.2582404531409684,0.8192889815480853,0.0,5e-08,5e-08
127,0.0,0.0,5e-08,5e-08,gaussian,0.2885232921645734,0.6767572757554263,0.0,5e-08,5e-08
128,0.0,0.0,5e-08,5e-08,gaussian,0.3184346914045065,0.7102790425775959,0.0,5e-08,5e-08
129,0.0,0.0,5e-08,5e-08,gaussian,0.3383852554604482,0.7537004670107448,0.0,5e-08,5e-08
130,0.0,0.0,5e-08,5e-08,gaussian,0.295640572190374,0.6780966626806428,0.0,5e-08,5e-08
131,0.0,0.0,5e-08,5e-08,gaussian,0.2374924633210727,0.7500521963879623,0.0,5e-08,5e-08
132,0.0,0.0,5e-08,5e-08,gaussian,0.2895171943677843,0.8088778176130464,0.0,5e-08,5e-08
133,0.0,0.0,5e-08,5e-08,gaussian,0.2661255429999109,0.757246373383392,0.0,5e-08,5e-08
134,0.0,0.0,5e-08,5e-08,gaussian,0.3018801799294146,0.795954196020353,0.0,5e-08,5e-08
135,0.0,0.0,5e-08,5e-08,gaussian,0.3118417068723603,0.9231153337579067,0.0,5e-08,5e-08
136,0.0,0.0,5e-08,5e-08,gaussian,0.3072198146136699,0.8585161964306853,0.0,5e-08,5e-08
137,0.0,0.0,5e-08,5e-08,gaussian,0.2735692488891946,0.7047192423217845,0.0,5e-08,5e-08
138,0.0,0.0,5e-08,5e-08,gaussian,0.2985251759839044,0.7996909452287609,0.0,5e-08,5e-08
139,0.0,0.0,5e-08,5e-08,gaussian,0.3020448582222819,0.7046668369051621,0.0,5e-08,5e-08
140,0.0,0.0,5e-08,5e-08,gaussian,0.2895821788486961,0.8038913545088563,0.0,5e-08,5e-08
141,0.0,0.0,5e-08,5e-08,gaussian,0.2805367840553009,0.6494528898797615,0.0,5e-08,5e-08
142,0.0,0.0,5e-08,5e-08,gaussian,0.2629940735330104,0.8204026046985667,0.0,5e-08,5e-08
143,0.0,0.0,5e-08,5e-08,gaussian,0.2493231525796108,0.8652129286476755,0.0,5e-08,5e-08
144,0.0,0.0,5e-08,5e-08,gaussian,0.2815946553707415,0.7926563841446937,0.0,5e-08,5e-08
145,0.0,0.0,5e-08,5e-08,gaussian,0.2921706228176597,0.8752946032804932,0.0,5e-08,5e-08
146,0.0,0.0,5e-08,5e-08,gaussian,0.2950071421957246,0.8676946148043576,0.0,5e-08,5e-08
147,0.0,0.0,5e-08,5e-08,gaussian,0.3139531255455807,0.8474827705006593,0.0,5e-08,5e-08
148,0.0,0.0,5e-08,5e-08,gaussian,0.2994258457956763,0.8575397018610421,0.0,5e-08,5e-08
149,0.0,0.0,5e-08,5e-08,gaussian,0.3122780599669844,0.6739728412636987,0.0,5e-08,5e-08
150,0.0,0.0,5e-08,5e-08,gaussian,0.282734426242036,0.714824121884955,0.0,5e-08,5e-08
151,0.0,0.0,5e-08,5e-08,gaussian,0.2598440854218882,0.817260399425873,0.0,5e-08,5e-08
152,0.0,0.0,5e-08,5e-08,gaussian,0.2478017512513114,0.7882891287622014,0.0,5e-08,5e-08
153,0.0,0.0,5e-08,5e-08,gaussian,0.3149723619608779,0.7231207463959425,0.0,5e-08,5e-08
