idx,mismatches,combo,samples
1,600,"{""A_eff"": ""1 keV [row#]"", ""MM_PSF"": ""Fixed Sym Gaussian (sigma_rad=0.05 micron, sigma_azi=0.05 micron)""}","[{""MM"": 1, ""mux_runtime"": 1.1791959102026087e-05, ""muy_runtime"": -1.608136347253808e-05, ""mux_final"": 1.5770871950431685e-05, ""muy_final"": -5.107423401163197e-06}, {""MM"": 2, ""mux_runtime"": 2.8244739811986726e-08, ""muy_runtime"": -9.136935840748952e-06, ""mux_final"": 3.3601028966242406e-06, ""muy_final"": -2.0497253070425635e-06}, {""MM"": 3, ""mux_runtime"": 9.608239680335188e-06, ""muy_runtime"": 3.7961505145077556e-06, ""mux_final"": 6.3345046291381534e-06, ""muy_final"": -3.707154180635837e-07}, {""MM"": 4, ""mux_runtime"": -2.4362702699527406e-05, ""muy_runtime"": -1.297340100412779e-05, ""mux_final"": 1.254405819112847e-06, ""muy_final"": 6.0567288770692615e-06}, {""MM"": 5, ""mux_runtime"": 1.1639008723634677e-05, ""muy_runtime"": 1.7397804404304725e-05, ""mux_final"": 9.438761569874617e-06, ""muy_final"": -6.7547826984035915e-06}]"
2,600,"{""A_eff"": ""1 keV [row#]"", ""MM_PSF"": ""10% Variable Sym Gaussian 4.3\""""}","[{""MM"": 1, ""mux_runtime"": 1.1791959102026087e-05, ""muy_runtime"": -1.608136347253808e-05, ""mux_final"": 1.5770871950431685e-05, ""muy_final"": -5.107423401163197e-06}, {""MM"": 2, ""mux_runtime"": 2.8244739811986726e-08, ""muy_runtime"": -9.136935840748952e-06, ""mux_final"": 3.3601028966242406e-06, ""muy_final"": -2.0497253070425635e-06}, {""MM"": 3, ""mux_runtime"": 9.608239680335188e-06, ""muy_runtime"": 3.7961505145077556e-06, ""mux_final"": 6.3345046291381534e-06, ""muy_final"": -3.707154180635837e-07}, {""MM"": 4, ""mux_runtime"": -2.4362702699527406e-05, ""muy_runtime"": -1.297340100412779e-05, ""mux_final"": 1.254405819112847e-06, ""muy_final"": 6.0567288770692615e-06}, {""MM"": 5, ""mux_runtime"": 1.1639008723634677e-05, ""muy_runtime"": 1.7397804404304725e-05, ""mux_final"": 9.438761569874617e-06, ""muy_final"": -6.7547826984035915e-06}]"
