MM #,mux_in,muy_in,mux_fin,muy_fin,mux_changed,muy_changed,mux_zeroed,muy_zeroed
76,8.366284311234247e-05,-0.0001308751065268,0.0,0.0,True,True,True,True
77,0.0001038286897195,-2.4823589293964865e-05,0.0,0.0,True,True,True,True
78,-4.347755282857094e-05,-0.0001459980013138,0.0,-0.0,True,True,True,True
79,2.6397693458998647e-05,8.07889327504379e-05,0.0,-0.0,True,True,True,True
80,4.183651132711277e-07,0.0001230908090557,0.0,-0.0,True,True,True,True
81,-9.764534732157992e-05,6.51237230193856e-05,-0.0,0.0,True,True,True,True
82,0.0001054111287428,5.008455534107696e-05,0.0,0.0,True,True,True,True
83,-9.83070576742807e-06,-6.294156343551705e-05,0.0,0.0,True,True,True,True
84,0.0001198947294778,-4.039606748248609e-05,-0.0,0.0,True,True,True,True
85,0.00014596053965,-2.55948838436166e-05,0.0,-0.0,True,True,True,True
86,0.0001281353868436,8.113636643795474e-05,0.0,0.0,True,True,True,True
87,9.155131011612372e-06,-7.248916871450195e-05,-0.0,0.0,True,True,True,True
88,-1.634497290379746e-05,0.0001220677736344,0.0,0.0,True,True,True,True
89,-7.934889595689945e-05,0.0001310717276733,0.0,-0.0,True,True,True,True
90,-7.69693609362527e-05,3.294344641773594e-05,-0.0,0.0,True,True,True,True
91,3.258782347040225e-05,7.819841622161398e-05,0.0,-0.0,True,True,True,True
92,1.580684796709989e-05,2.6356797265351384e-05,-0.0,0.0,True,True,True,True
93,0.0001119918544974,-9.022998019425028e-05,0.0,0.0,True,True,True,True
94,0.0001394836501457,-8.929660050508551e-05,0.0,-0.0,True,True,True,True
95,8.484262269039872e-06,-6.972613669424429e-05,0.0,-0.0,True,True,True,True
96,6.902763917942453e-05,9.98808216917745e-05,0.0,0.0,True,True,True,True
97,-1.4831486039235403e-05,9.21561269871378e-05,0.0,0.0,True,True,True,True
98,-0.0001057504629009,5.8406766264793e-05,0.0,-0.0,True,True,True,True
99,3.614532253835456e-05,0.0001013093324161,0.0,0.0,True,True,True,True
100,-0.0001405308804774,1.8847190141924467e-05,-0.0,0.0,True,True,True,True
101,1.9906226077134876e-05,5.334400758168443e-06,-0.0,0.0,True,True,True,True
102,-1.621289390988565e-05,-1.2598535493272697e-05,0.0,0.0,True,True,True,True
103,-2.168245175872542e-05,5.208927769223255e-06,0.0,-0.0,True,True,True,True
104,5.054186530488613e-05,4.729871410885443e-06,0.0,-0.0,True,True,True,True
105,1.8494198958478655e-05,1.2251498140216596e-05,0.0,-0.0,True,True,True,True
106,-6.789438253740537e-06,-2.436540465550547e-06,0.0,0.0,True,True,True,True
107,-4.450014091789328e-05,5.074971596556693e-06,0.0,0.0,True,True,True,True
108,1.4543820032440892e-05,1.977555705900106e-05,-0.0,0.0,True,True,True,True
109,8.870878874871449e-06,-1.5292600308501705e-05,0.0,0.0,True,True,True,True
110,1.3129791378451805e-06,-4.289630715686468e-06,-0.0,0.0,True,True,True,True
111,-1.1124398714439803e-05,7.580865145826066e-06,0.0,0.0,True,True,True,True
112,-7.663191987774527e-06,-1.340461918263119e-06,0.0,-0.0,True,True,True,True
113,8.932933946964033e-06,-3.0168719544478084e-05,0.0,0.0,True,True,True,True
114,-7.098650627740519e-05,-1.734329616017079e-05,-0.0,0.0,True,True,True,True
115,-6.357141303756629e-06,-1.8519353177828634e-05,0.0,0.0,True,True,True,True
116,-2.7445575056776485e-05,3.454705496295206e-05,0.0,0.0,True,True,True,True
117,1.926772535492179e-05,4.376204228283689e-06,0.0,-0.0,True,True,True,True
118,-6.239106115024698e-05,-3.183908401005437e-05,0.0,0.0,True,True,True,True
119,6.192029831316814e-05,-3.022232560175872e-06,0.0,-0.0,True,True,True,True
120,-4.843494921709531e-06,-1.583048155527583e-05,0.0,0.0,True,True,True,True
121,5.179466324193488e-05,9.683416335649433e-07,0.0,0.0,True,True,True,True
122,2.0653693272560287e-05,4.458169759849887e-06,-0.0,0.0,True,True,True,True
123,-1.7800048294474674e-05,-4.0659704271676e-05,-0.0,0.0,True,True,True,True
